net,length_um
net119,1.14518mm
net135,1.12748mm
net118,1.08546mm
net137,1.044575mm
net126,928.71µm
net142,915.72µm
net221,913.5µm
net139,896.39µm
net33,881.12µm
net40,874.17µm
net45,864.19µm
net198,857.56µm
net138,847.85µm
_02916_,847.52µm
net446,846.08µm
net37,837.86µm
net43,834.895µm
net44,834.55µm
net38,830.14µm
net1,825.34µm
net567,822.54µm
net41,819.085µm
net46,813.43µm
net39,802.7µm
net464,775.65µm
net310,757.07µm
net77,754.78µm
net375,744.5µm
net42,742.38µm
net379,739.58µm
clk,734.65µm
net363,728.56µm
net141,720.26µm
net364,710.38µm
net203,710.075µm
net369,707.98µm
net12,702.39µm
net367,702.21µm
net513,701.81µm
net557,699.3µm
net202,691.83µm
net217,690.16µm
_09580_,688µm
net518,686.7µm
net584,684.83µm
net487,683.915µm
_05271_,671.57µm
net315,670.64µm
net385,668.91µm
net62,668.73µm
net220,667.82µm
net581,666.05µm
net23,661.34µm
net372,661.235µm
net362,660.22µm
net283,648.475µm
net326,645.575µm
_03231_,640.92µm
net532,639.73µm
net319,635.6µm
_00390_,622.32µm
net88,620.72µm
_02949_,618.34µm
net67,617.28µm
net99,611.86µm
_03290_,609.76µm
net449,608.08µm
net279,607.47µm
net588,606.07µm
net359,604.94µm
net574,604.83µm
net68,603.72µm
net264,600.08µm
net559,600.06µm
net528,599.7µm
net411,597.56µm
net534,597.105µm
_02945_,596.66µm
net351,595.56µm
net143,594.88µm
_06403_,594.82µm
net109,591.7µm
net228,591.02µm
_04610_,589.56µm
net222,585.74µm
_02982_,584.05µm
net79,580.34µm
_05269_,577.54µm
net204,570.26µm
_04864_,568.65µm
_04871_,567µm
net287,566.68µm
net214,566.16µm
_00909_,564.9µm
_03287_,561.2µm
net554,559.76µm
_06415_,556.92µm
net69,554.775µm
net288,553.92µm
net389,549.535µm
net329,549.015µm
net80,547.075µm
net70,546.09µm
net483,545.62µm
_00354_,541.07µm
net199,540µm
_04225_,539.7µm
_02984_,536.285µm
_05303_,528.3µm
_10311_,528.04µm
_02965_,525.74µm
_06951_,525.5µm
_04203_,523.24µm
_02994_,523.06µm
_02931_,522.72µm
_03096_,521.12µm
net327,520.9µm
net205,518.8µm
_03230_,517.28µm
net227,515.86µm
_03029_,515.16µm
net328,513.36µm
_03098_,512.645µm
net323,511.91µm
_03165_,510.52µm
_09578_,508.375µm
_08513_,507.74µm
net136,506.25µm
_03030_,506.08µm
net263,504.575µm
_05033_,503.84µm
net97,503.7µm
net85,502.835µm
net353,500.715µm
net200,497.8µm
_07653_,496.935µm
_03237_,496.06µm
net261,494.54µm
_02905_,494.495µm
net402,494.1µm
_03174_,492.58µm
_08918_,491.38µm
net300,488.72µm
net239,483.46µm
net358,483.3µm
_03286_,482.06µm
_02610_,481.6µm
net545,480.16µm
_01464_,479.62µm
net180,477.9µm
net226,477.84µm
_03236_,477.74µm
_02823_,477.71µm
net250,477.38µm
net537,477.22µm
net218,475.9µm
_02993_,475.44µm
net201,473.02µm
net209,470.98µm
net229,469.54µm
net281,468.76µm
net286,468.16µm
net252,466.725µm
net320,464.72µm
_01274_,464.52µm
net240,463.685µm
_02894_,462.32µm
net155,460.94µm
_00743_,460.04µm
net442,457.86µm
net219,456.74µm
_06381_,455.72µm
net208,455.64µm
_07602_,455.34µm
net210,454.54µm
_08998_,453.78µm
_01333_,452.32µm
net265,449.42µm
net63,449.36µm
net158,447.445µm
net81,447.14µm
net86,447µm
net197,446.26µm
net521,445.165µm
_09000_,444.58µm
net244,443.66µm
net225,442.66µm
net230,441.28µm
_10774_,438.67µm
net378,435.32µm
_05829_,433.96µm
_11141_,433.12µm
net550,431.315µm
_03323_,430.72µm
_06164_,430.36µm
net243,425.37µm
net120,424.16µm
net207,422.39µm
_01730_,419.79µm
net34,418.98µm
net267,418.01µm
_02635_,417.32µm
net153,415.84µm
net309,413.28µm
_02839_,412.1µm
net35,410.66µm
net36,410.53µm
net211,409.48µm
net174,408.06µm
_04305_,407.98µm
_01495_,407µm
net531,406.12µm
_04487_,404µm
_10406_,402.26µm
_10905_,401.16µm
_04565_,401.06µm
_01204_,399.62µm
_01202_,398.66µm
net87,398.66µm
net147,398.22µm
_06213_,396.88µm
net577,396.375µm
_01860_,396.18µm
_01656_,395.82µm
net55,395.78µm
net89,395.33µm
_04954_,394.94µm
_09086_,393.64µm
net268,392.9µm
net522,390.31µm
_00349_,388.82µm
_10782_,388.64µm
net539,387.915µm
_04288_,387.745µm
_07731_,387.06µm
net427,386.86µm
_00904_,386.18µm
net110,384.62µm
_00212_,384.6µm
net224,384.2µm
net275,383.065µm
_00824_,381.92µm
net276,381.9µm
_00577_,381.22µm
net176,380.94µm
_06525_,380.17µm
_06187_,378.835µm
net538,378.8µm
net533,376.885µm
_01861_,375.83µm
_01447_,375.575µm
net156,373.88µm
_07770_,373.71µm
_01146_,372.98µm
_01077_,372.04µm
_06491_,371.86µm
_00644_,368.96µm
net512,365.76µm
net84,365.26µm
net308,363.94µm
net575,363.94µm
net178,363.72µm
net177,363.17µm
net66,362.7µm
_03037_,362.62µm
net388,362.575µm
_08230_,361.12µm
_02927_,360.62µm
_09957_,357.94µm
net542,357.19µm
net231,356.62µm
net196,355.96µm
_09634_,355.79µm
net164,355.76µm
net185,355.46µm
net282,355.175µm
net247,354.9µm
net157,354.62µm
net223,351.56µm
net195,351.08µm
net94,350.78µm
_06239_,350.55µm
