net,length_um
net1070,849.65µm
net375,805.7µm
clk,803.69µm
net1240,781.28µm
net1125,777.73µm
net1293,756.96µm
net559,754.765µm
net1253,745.855µm
net432,732.44µm
net998,725.26µm
net973,716.09µm
net170,714.32µm
net1177,711.79µm
_19869_,710.915µm
net172,709.07µm
net431,706.68µm
net1026,700.515µm
net871,695.355µm
net1159,694.32µm
net310,694.09µm
net1255,687.9µm
net977,684.8µm
net1004,681.225µm
net1260,675.74µm
net848,672.495µm
net1067,672.04µm
net653,671.57µm
net835,667.56µm
net920,661.59µm
net783,660.335µm
net279,659.2µm
net786,655.7µm
net1246,650µm
net825,646.26µm
net569,646.19µm
net6,645.81µm
net568,643.88µm
net635,643.38µm
net1099,641.88µm
_16240_,640.52µm
net993,639.55µm
net1073,638.22µm
net578,637.12µm
net1051,636.95µm
net1009,633.4µm
net402,632.61µm
net575,629.095µm
net311,629.05µm
net1294,624.32µm
net573,618.875µm
net1047,616.56µm
net580,615.78µm
net445,615.355µm
net535,614.05µm
net1276,613.55µm
net1245,603.77µm
net581,601.99µm
net428,599.705µm
net1283,595.45µm
net1146,589.98µm
net46,588.93µm
net185,588.4µm
net1168,586.09µm
net7,584.4µm
net1259,582.37µm
net956,580.7µm
net769,580.13µm
net1085,577.72µm
net777,574.62µm
net372,569.94µm
net759,568.96µm
net435,567.46µm
net1295,566.6µm
net969,563.73µm
net321,563.17µm
net670,562.97µm
net5,561.67µm
_14719_,560.955µm
_13096_,559.91µm
net675,551.12µm
net1162,550.73µm
net586,549.24µm
net540,547.92µm
net658,546.78µm
net577,545.04µm
net751,542.51µm
net426,540.43µm
net340,540.32µm
net744,539.96µm
net86,535.95µm
net775,533.425µm
net911,532µm
net301,530.39µm
net556,528.36µm
net284,528.08µm
net576,526.23µm
_00499_,525.59µm
net96,525.46µm
net957,524.455µm
net1220,524.13µm
net807,523.63µm
net88,523.62µm
net1131,523.1µm
net606,521.43µm
net747,521.19µm
net780,520.11µm
net9,517.86µm
net1094,515.27µm
net1031,513.3µm
net1217,512.71µm
net736,506.74µm
net334,502.66µm
net720,502.54µm
net544,500.265µm
net293,500.16µm
net486,499.745µm
net1198,499.71µm
net1187,499.33µm
net530,497.62µm
net665,496.34µm
net733,494.36µm
net723,493.68µm
net718,493.385µm
_13386_,492.655µm
net95,492.435µm
net399,492.16µm
net1054,490.7µm
net754,490.2µm
net335,489.595µm
net716,489.12µm
net1267,485.02µm
net1066,483.88µm
net337,483.6µm
net453,482.75µm
net615,481.84µm
net1272,481.82µm
net1244,480.24µm
net269,478.17µm
net730,477.52µm
net1029,477.34µm
net558,477.28µm
net538,477.22µm
net564,477µm
_19227_,476.71µm
net367,476.675µm
net396,475.9µm
_18666_,475.675µm
net1184,474.34µm
net1266,473.67µm
net802,473.03µm
net1089,472.51µm
net470,471.93µm
net1191,471.6µm
net954,471.08µm
net791,470.7µm
net1213,470.505µm
net93,470.14µm
net315,470.1µm
net423,470.04µm
net792,467.88µm
net925,467.64µm
net1178,467.38µm
net289,466.52µm
net963,463.58µm
net1288,463.575µm
net404,463.15µm
net867,463.15µm
net338,463.04µm
net448,462.31µm
net1289,461.735µm
net1121,461.185µm
net1093,460.32µm
net1103,459.915µm
net756,459.73µm
net351,459.48µm
net450,459.33µm
net1036,459.28µm
net1268,458.34µm
net715,457.79µm
net554,456.9µm
net1072,456.67µm
net620,456.32µm
net773,455.8µm
net799,455.64µm
net336,455.2µm
net1219,454.92µm
net373,452.96µm
net811,452.76µm
net455,452.14µm
_07480_,452.09µm
net862,451.89µm
net91,451.5µm
net705,451.075µm
net1059,450.715µm
net902,450.62µm
net270,450.5µm
net1126,450.36µm
net790,447.95µm
net124,445.78µm
_03775_,445.48µm
net1077,444.97µm
net1285,443.35µm
net97,442.74µm
net350,442.315µm
net968,441.9µm
net605,441.43µm
net1045,441.2µm
_01115_,441.15µm
net444,441.055µm
net550,440.99µm
net946,440.89µm
net51,440.755µm
net1130,440.47µm
net913,439.8µm
net734,439.42µm
net907,439.22µm
net547,438.97µm
net917,438.92µm
net930,437.595µm
net988,437.44µm
_09514_,437.435µm
net796,437.02µm
net516,436.83µm
net1243,436.82µm
net1227,436.29µm
net1123,435.5µm
net92,435.44µm
net307,435.4µm
net1269,434.73µm
net398,434.32µm
net965,434.18µm
net713,434.09µm
net515,433.64µm
net1242,433.42µm
net459,433.06µm
net927,432.705µm
net727,432.455µm
net395,432.17µm
net94,430.55µm
net304,430.24µm
net1216,429.15µm
net960,427.88µm
net625,427.67µm
net1105,427.18µm
net531,426.88µm
net1206,426.64µm
net541,426.38µm
net1119,425.5µm
net943,425.37µm
net745,425.36µm
net703,424.96µm
net1291,424.53µm
net1172,424.18µm
net1209,423.805µm
net539,423.33µm
net434,422.56µm
net457,421.83µm
net1107,421.77µm
net551,421.615µm
net1163,421.43µm
net533,421.155µm
net821,420.33µm
net1112,419.71µm
net813,419.68µm
net298,418.74µm
net1138,418.38µm
net1100,418.15µm
net488,417.88µm
net1034,417.54µm
net731,417.53µm
net1060,417.52µm
net1264,417.51µm
_09052_,416.79µm
net1043,416.46µm
net285,415.46µm
net700,415.06µm
net817,414.44µm
net442,414.255µm
net864,413.97µm
net1286,413.66µm
net318,413.56µm
net1096,413.19µm
net1055,411.84µm
net1041,411.57µm
net726,411.16µm
_13237_,411.05µm
net909,411.04µm
net740,410.48µm
net1270,410.38µm
net1160,410.13µm
net749,410.075µm
net371,410.03µm
net555,409.66µm
_12331_,409.38µm
net303,407.89µm
net424,407.835µm
net941,407.63µm
net283,407.1µm
_14556_,406.865µm
net83,406.64µm
net607,406.58µm
net1204,406.41µm
net1207,406.29µm
net1049,406.23µm
net430,405.98µm
net512,405.98µm
net553,404.87µm
net1048,404.62µm
net329,404.56µm
_13018_,404.04µm
net944,403.915µm
net275,403.785µm
net561,403.65µm
net524,403.47µm
net126,403.19µm
