net,length_um
net136,709.61µm
net33,689.77µm
net119,631.41µm
net135,610.435µm
net109,602.88µm
net126,597.11µm
net44,590.4µm
net139,582.705µm
net141,532.15µm
net118,527.35µm
net99,520.79µm
net545,519.2µm
net208,510.07µm
net77,505.21µm
net203,502.195µm
net354,495.68µm
net138,495.32µm
net204,494.64µm
net248,490.64µm
net202,478.06µm
net201,477.81µm
net88,475.52µm
net1,465.77µm
net40,465.49µm
_00647_,463.82µm
net260,463.16µm
net494,455.81µm
_02916_,450.25µm
clk,446.45µm
net209,444.01µm
net210,441.435µm
net217,436.83µm
net221,430.8µm
net67,429.6µm
net349,428.3µm
net43,424.86µm
net41,424.34µm
net45,424.095µm
net37,423.75µm
net528,421.61µm
net487,419.42µm
net38,418.65µm
net120,417.76µm
net261,410.91µm
net382,409.62µm
net46,405.42µm
net534,404.52µm
net143,399.48µm
net39,397.445µm
net552,391.615µm
net346,386.355µm
net69,382.665µm
net68,382.1µm
net435,381.83µm
net200,381.67µm
net199,377.72µm
_00390_,376.61µm
net211,374.8µm
net205,374.68µm
net12,370.51µm
net42,367.27µm
_04864_,364.82µm
net228,362.02µm
net198,359.31µm
net226,358.03µm
net150,356.15µm
net501,354.665µm
net23,354.07µm
net70,349.36µm
net207,346.69µm
_04871_,345.45µm
net321,344.29µm
net419,344.11µm
net227,343.64µm
net180,343.41µm
net510,342.16µm
net358,337.95µm
_03231_,335.36µm
net559,335.22µm
net225,331.76µm
net153,331.42µm
net301,330.865µm
net335,330.58µm
net482,327.985µm
net340,327.96µm
_05033_,327.39µm
net334,324.68µm
net142,322.64µm
_10774_,319.12µm
net110,318.74µm
net457,318.35µm
net412,317.05µm
net266,316.82µm
net526,312.85µm
net147,312.26µm
net197,311.73µm
net175,309.63µm
net185,308.13µm
net220,306.74µm
net164,305.5µm
net338,303.85µm
_01143_,302.7µm
net453,299.855µm
net196,299.16µm
net259,299.04µm
net247,298.99µm
net328,296.33µm
_01146_,295.86µm
net343,292.715µm
net206,292.27µm
net333,291.84µm
_01274_,291.09µm
_03323_,288.235µm
_02993_,287.77µm
net302,285.295µm
net224,283.78µm
_01056_,281.9µm
net504,280.23µm
net347,277.66µm
net282,277.575µm
_00909_,277.24µm
_05271_,276.43µm
net493,275.21µm
net416,273.68µm
net332,273.62µm
net223,273.14µm
net490,272.185µm
_00016_,271.72µm
net496,271.005µm
net323,265.595µm
_03290_,264.82µm
net280,262.37µm
_02758_,262.155µm
net148,261.36µm
_00745_,260.88µm
net522,259.895µm
net86,259.3µm
net300,257.92µm
net303,257.65µm
net149,257.35µm
net263,257.27µm
_02839_,256.2µm
net146,255.99µm
net329,255.775µm
net35,253.96µm
_09580_,253.04µm
net481,252.38µm
net55,251.28µm
