net,length_um
net840,1.0401mm
net843,1.00713mm
net271,990.32µm
net876,985.72µm
net880,983.54µm
net275,981.14µm
net925,938.83µm
net914,930.21µm
net168,923.55µm
net838,904.77µm
_08941_,904.41µm
net101,893.205µm
net434,887.76µm
net928,887.66µm
net87,884.46µm
_12743_,877.61µm
_18908_,876.025µm
net176,874.775µm
net953,874.33µm
net918,863.845µm
net120,849.37µm
net352,841.97µm
_13205_,840.95µm
net922,835.655µm
net963,830.46µm
_18919_,824µm
net158,822.08µm
net942,818.39µm
net971,809.53µm
net719,797.44µm
net769,783.08µm
net862,769.6µm
net948,769.02µm
net932,766.68µm
net842,764.71µm
net102,760.425µm
net990,758.59µm
net828,745.51µm
net445,742.5µm
_13150_,737.9µm
net937,731.75µm
_05573_,728.88µm
_08039_,723.96µm
clk,723.73µm
net437,721.04µm
_12633_,721.02µm
net36,718.06µm
_12677_,715.53µm
net213,706.65µm
net8,699.39µm
net119,697.59µm
net170,694.62µm
_10417_,693.5µm
net106,692.99µm
net16,691.26µm
_12655_,688.11µm
_04610_,686.89µm
_11913_,685.6µm
net349,685.1µm
net165,684.06µm
net367,683.79µm
net100,675.15µm
net519,670.78µm
net475,669.23µm
net103,665.23µm
net306,659.86µm
net837,658.24µm
net982,653.6µm
net307,653.4µm
net105,649.97µm
_12666_,645.335µm
_17953_,645.2µm
net768,645.05µm
net161,644.9µm
net787,644.69µm
net104,643.55µm
net162,642.18µm
_12721_,638.46µm
net852,637.12µm
net45,636.38µm
net573,634.72µm
_03322_,634.26µm
net230,630.55µm
net77,627.9µm
_13304_,626.84µm
_01047_,626.02µm
net40,624.49µm
net141,622.96µm
net348,621.09µm
net172,620.87µm
net958,618.3µm
net427,617.285µm
net827,615.52µm
_12611_,614.94µm
net597,613.91µm
_19867_,612.955µm
net851,610.75µm
net588,608.65µm
net747,607.76µm
net195,607.59µm
_16240_,605.4µm
net731,605.11µm
net359,605.09µm
net441,604.85µm
net867,604.68µm
net976,603.41µm
net107,602.62µm
_01883_,601.45µm
net440,601.05µm
net471,598.04µm
net48,596.59µm
_13139_,593.99µm
net839,593.04µm
_13227_,588.9µm
net245,584.73µm
_03775_,584.33µm
net233,580.8µm
net52,580.7µm
net773,580.055µm
_14717_,579.37µm
net832,578.14µm
net847,578.07µm
_05691_,576.83µm
net110,573.96µm
_19869_,572.84µm
net612,572.17µm
net522,571.92µm
_17281_,571.11µm
net992,570.47µm
net679,568.675µm
net50,568.17µm
net718,566.27µm
net856,566.01µm
net350,564.88µm
_02181_,564.48µm
net841,564.33µm
net985,561.44µm
net244,561.18µm
net563,559.3µm
_09002_,558.52µm
net44,554.87µm
