net,length_um
clk,833.12µm
net1064,825.18µm
net486,817.11µm
net1118,791.45µm
net1186,790.51µm
net348,782.875µm
net282,778.82µm
net295,775.415µm
net394,738.26µm
net1123,729.21µm
net1238,725.125µm
net299,724.57µm
net809,723µm
net171,721.17µm
net495,714.96µm
net1199,707.97µm
net652,704µm
net911,699.73µm
net331,698.97µm
net721,691.26µm
net997,690.72µm
net747,685.79µm
net1039,685.15µm
net939,684.73µm
net967,682.75µm
net321,681.06µm
net480,676.68µm
net1018,675.11µm
_16240_,673.42µm
net855,670.79µm
net324,670.51µm
net1205,661µm
net507,660.9µm
net805,659.99µm
net990,657.04µm
net983,656.33µm
net1239,655.31µm
net846,652.275µm
net1192,651.57µm
net510,651.34µm
net725,650.42µm
net389,650.325µm
net728,648.39µm
net505,645.24µm
net307,644.8µm
net502,643.08µm
_14717_,642.67µm
net289,637.63µm
_12721_,630.32µm
net277,627.86µm
net892,627.66µm
net1042,626.86µm
net1228,624.76µm
net1033,621.33µm
net1204,617.74µm
net758,617.04µm
net369,615.86µm
net767,615.77µm
_14719_,615.71µm
net184,611.43µm
net373,610.46µm
net697,605.72µm
net988,605.52µm
net297,603.92µm
net1221,603.4µm
net327,603.18µm
net999,600.39µm
net1025,600.23µm
net185,599.6µm
net1215,597.26µm
net1240,597.23µm
net888,592.41µm
net718,591.54µm
net501,591.09µm
net513,590.2µm
_01785_,587.38µm
net304,585.32µm
net707,583.89µm
net411,583.07µm
net489,582.905µm
net672,578.99µm
net715,578.08µm
net44,577.68µm
net1070,577.58µm
net659,576.74µm
net414,573.765µm
net479,572.1µm
net1096,571.945µm
net86,571.1µm
net1191,570.88µm
net604,569.11µm
net4,569.09µm
net476,561.915µm
net509,559.64µm
net907,557.11µm
net1107,555.66µm
_12842_,555.52µm
net1243,551.8µm
net311,550.6µm
net46,549.67µm
net1077,547.79µm
net96,546.82µm
_13425_,546.38µm
net317,543.96µm
net88,543.88µm
net591,542.86µm
net609,542.8µm
net700,542.34µm
net387,539.82µm
net286,538.66µm
_02016_,538.2µm
_13096_,537.545µm
net478,535.56µm
net1168,534.04µm
net508,534.005µm
net445,528.15µm
net713,527.67µm
net326,527.46µm
net9,526.62µm
net458,526.615µm
_00499_,524.495µm
net688,522.58µm
net6,522.3µm
net518,521.12µm
net343,520.46µm
_16236_,519.58µm
net847,518.29µm
net657,518.14µm
net491,514.49µm
net1247,514.06µm
_17281_,512.51µm
net682,509.44µm
net305,506.91µm
net329,504.72µm
_09052_,504.07µm
net95,502.94µm
net861,502.78µm
net1013,502.28µm
net296,501.43µm
net1212,500.24µm
net1098,499.49µm
net972,499.455µm
net675,497.65µm
net711,497.255µm
net1166,497.09µm
net1008,495.32µm
net459,495.1µm
net928,493.61µm
net1217,492.5µm
net267,491.45µm
net1211,491.18µm
net281,491.01µm
net494,490.8µm
net328,490.24µm
_02401_,487.61µm
net392,486.99µm
net492,486.56µm
net1190,485.895µm
net730,485.89µm
net375,485.835µm
net1159,484.54µm
_10574_,484.2µm
net655,484.06µm
net500,483.98µm
net370,483.955µm
net679,483.27µm
net934,480.4µm
net984,479.62µm
net91,479.31µm
net654,479.02µm
net1164,478.97µm
_18666_,476.25µm
net1129,475.565µm
net330,475.45µm
_13386_,475.015µm
_17809_,474.8µm
net1133,474.255µm
net384,472.685µm
net670,472.56µm
net406,472.33µm
net1143,472.155µm
net1213,471.9µm
net945,471.82µm
net600,470.44µm
net416,469.38µm
net916,468.62µm
net1108,465.88µm
_02500_,465.38µm
net344,465.38µm
net691,464.81µm
net843,464µm
net1248,463.31µm
net552,463.1µm
net496,462.62µm
net586,461.99µm
net97,461.53µm
net1053,461.485µm
net977,461.22µm
net92,459.9µm
net1149,459.635µm
net897,459.515µm
net1214,458.495µm
net1104,458.32µm
net666,458.24µm
net557,456.84µm
net417,456.72µm
net673,456.44µm
net124,455.24µm
net795,454.935µm
net1075,454.335µm
net881,454.025µm
net93,453.84µm
net894,453.515µm
net734,452.86µm
net1184,452.25µm
_16366_,451.86µm
net548,451.7µm
net391,451.66µm
net1234,451.21µm
net1236,451.05µm
net987,450.08µm
net980,449.83µm
net1230,449.04µm
net483,448.71µm
net1114,448.57µm
_13249_,448.3µm
net910,448.18µm
net376,448.06µm
net428,447.64µm
net1017,447.395µm
net781,446.635µm
net487,445.35µm
net878,444.88µm
net903,444.81µm
net539,443.88µm
net335,443.86µm
net1058,443.82µm
net1136,443.52µm
net395,443.37µm
net300,443.01µm
net94,443µm
net686,442.16µm
net1087,442µm
_14545_,441.64µm
net51,441.62µm
net499,441.18µm
net1038,440.455µm
net405,440.39µm
net644,440.33µm
net1029,439.7µm
net336,439.54µm
net743,439.12µm
net975,439.02µm
net1233,438.34µm
net1046,438.26µm
net346,437.08µm
net891,436.82µm
net447,436.23µm
net970,435.94µm
net663,435.31µm
net367,435.03µm
net729,434.86µm
net409,434.52µm
net1105,434.5µm
_13237_,434.01µm
_09514_,433.675µm
net738,432.84µm
net636,430.805µm
net693,430.26µm
net1103,430.21µm
net1209,428.89µm
net665,428.455µm
net689,427.98µm
_12331_,426.82µm
_04293_,426.26µm
net536,426.23µm
net634,425.42µm
net906,425.42µm
net342,424.99µm
net1175,424.79µm
_09998_,423.22µm
net1035,423.08µm
net1005,422.61µm
net415,421.72µm
_14556_,421.37µm
net1189,421.18µm
_13238_,420.45µm
net801,420.27µm
net467,419.4µm
net1069,418.62µm
net1000,418.1µm
net537,418µm
net403,417.88µm
net596,416.94µm
net431,416.76µm
net994,416.595µm
net1137,416.47µm
net669,416.34µm
net216,415.815µm
net1152,415.06µm
net333,414.58µm
net992,414.01µm
net1065,413.485µm
net1210,413.33µm
_18051_,412.91µm
net313,412.88µm
net1051,411.86µm
net628,411.81µm
net1060,411.79µm
net995,411.66µm
net993,411.48µm
net1174,411.3µm
net400,411.11µm
net1044,410.74µm
net1188,410.24µm
net374,410.06µm
net1156,410.05µm
net188,409.92µm
net1231,409.68µm
net302,409.53µm
net754,409.17µm
net126,408.7µm
_17798_,408.54µm
_03378_,408.08µm
net948,407.36µm
net901,406.775µm
_20185_,406.57µm
_12817_,406.38µm
net1071,406.355µm
_08874_,406.185µm
net1153,405.96µm
net803,405.32µm
net1121,404.81µm
net172,404.62µm
_01115_,404.28µm
net83,403.78µm
net531,403.52µm
net750,403.16µm
net512,403.08µm
net236,402.66µm
net650,402.54µm
net323,401.96µm
_18230_,401.9µm
net1207,401.8µm
net1244,401.75µm
net276,401.68µm
net320,401.54µm
net308,401.475µm
_03534_,401.19µm
net1067,400.86µm
net1183,400.815µm
net257,400.23µm
net215,399.445µm
net1226,399.3µm
net290,399.18µm
_12941_,399.11µm
net318,398.92µm
net1172,398.54µm
_04303_,398.42µm
net372,398.42µm
net683,398.4µm
_11244_,398.36µm
net298,398.34µm
net273,397.8µm
net291,397.8µm
net319,397.635µm
net497,397.45µm
_11259_,396.57µm
net365,396.435µm
_13282_,396.215µm
net270,396.18µm
net261,395.955µm
_19227_,395.9µm
net258,395.85µm
net278,395.82µm
net272,395.13µm
net1155,395.03µm
net1237,394.99µm
net309,394.9µm
net527,394.65µm
net269,394.58µm
net36,394.46µm
net1006,394.42µm
net301,394.335µm
net264,394.24µm
net127,394.095µm
net128,393.87µm
net1235,393.82µm
net260,393.42µm
_10997_,393.14µm
net265,393.14µm
_17270_,392.995µm
net274,392.82µm
net280,392.58µm
net306,392.52µm
net303,392.35µm
_17049_,392.34µm
_11000_,392.23µm
net293,392.17µm
net1180,391.89µm
net287,391.86µm
net256,391.5µm
_12996_,390.895µm
net1130,390.76µm
net1144,390.64µm
net310,389.75µm
net1245,389.62µm
_16621_,389.295µm
net875,389.23µm
net271,389.15µm
net294,388.99µm
net1007,388.74µm
net438,388.6µm
net283,388.57µm
net325,388.35µm
net1160,388.28µm
net1002,387.72µm
net436,387.56µm
net1229,387.33µm
net442,387.25µm
_10066_,386.52µm
net366,386.245µm
net154,386.07µm
net568,385.96µm
net314,385.92µm
net493,385.85µm
net49,385.8µm
net1208,385.74µm
net279,385.57µm
net266,385.44µm
net519,385.39µm
net840,385.2µm
net255,385.04µm
net862,385.04µm
net259,384.99µm
net332,384.89µm
net441,384.86µm
net872,384.795µm
net973,384.75µm
net1078,384.45µm
net544,384.38µm
net474,384.23µm
net440,384.2µm
net152,384.15µm
net469,384.135µm
_05573_,383.97µm
net694,383.7µm
net275,383.54µm
net1109,383.54µm
net879,383.455µm
net498,382.71µm
net292,382.56µm
net262,382.44µm
_16792_,382.07µm
_12798_,381.88µm
net1030,381.695µm
net488,381.505µm
net337,381.41µm
net439,380.96µm
net701,380.95µm
net1187,380.93µm
net385,380.82µm
net443,380.52µm
_13381_,380µm
net316,379.92µm
net284,379.82µm
net477,379.82µm
net1102,379.22µm
net1113,379.07µm
net1106,378.76µm
net1161,378.59µm
net540,378.49µm
net884,378.41µm
net1200,378.28µm
net594,378.24µm
net511,378.04µm
net481,377.8µm
net797,377.72µm
_04842_,377.605µm
net639,377.465µm
net1176,377.33µm
net1024,377.31µm
_05711_,376.96µm
net437,376.84µm
_11206_,376.65µm
net468,376.22µm
net1232,376.1µm
net285,375.86µm
net263,375.75µm
net660,375.59µm
net452,375.58µm
net658,375.27µm
net29,375.22µm
net1010,374.76µm
net106,374.26µm
_10998_,374.22µm
_14954_,372.67µm
net85,372.48µm
_13337_,372.39µm
_10717_,371.92µm
net1047,370.42µm
_01093_,370.18µm
net1162,370.08µm
net240,370.06µm
net253,369.88µm
net53,369.28µm
net473,368.805µm
net37,367.91µm
net742,367.91µm
net322,367.69µm
net197,366.575µm
net763,366.385µm
_13018_,366.22µm
_13989_,365.98µm
_18677_,365.61µm
_00235_,365.46µm
net755,365.29µm
net886,364.91µm
net132,364.46µm
net183,364.35µm
net889,364.32µm
_12333_,364.015µm
net1020,363.54µm
net955,363µm
_14527_,362.38µm
_01103_,362.04µm
net129,362µm
_18578_,361.8µm
_12732_,361.74µm
_12218_,361.53µm
net84,361.34µm
_01582_,361.25µm
net1086,360.86µm
