net,length_um
net288,463.255µm
clknet_1_0__leaf_clk,426.84µm
clknet_1_1__leaf_clk,390.96µm
net62,321.1µm
net84,310.6µm
net51,303.02µm
net73,295.64µm
net40,287.6µm
net16,259.34µm
net2,257.5µm
net15,233.02µm
net14,232.08µm
net13,218.205µm
net10,215.52µm
net1,213.22µm
net12,210.98µm
clk,194.11µm
clknet_leaf_13_clk,192.08µm
clknet_leaf_8_clk,190.235µm
net7,189.46µm
net9,180.8µm
clknet_leaf_20_clk,176.84µm
net6,175.58µm
net202,174.58µm
clknet_leaf_11_clk,173.84µm
net273,160.74µm
clknet_leaf_4_clk,160.27µm
clknet_leaf_15_clk,159.18µm
net8,157.56µm
clknet_leaf_0_clk,153.58µm
clknet_leaf_19_clk,153.1µm
net285,151.2µm
net287,149.795µm
net101,149.66µm
net48,145.08µm
net246,144.44µm
net31,143.94µm
net281,143.71µm
net257,143.58µm
net92,141.68µm
net271,141.48µm
net66,141.44µm
net199,141.05µm
net5,141µm
net269,140.3µm
net235,139.52µm
net252,139.38µm
net4,139µm
net182,138.1µm
net29,137.4µm
net265,136.92µm
net217,136.54µm
net234,135.74µm
net75,135.66µm
net137,135.27µm
net83,134.28µm
net224,133.94µm
net57,133.06µm
net119,131.56µm
net39,131.52µm
net111,131.13µm
net3,130.82µm
net208,129.8µm
net22,129.38µm
net259,128.24µm
net173,127.54µm
net11,127.28µm
net146,126.78µm
net267,126.78µm
net243,125.74µm
net226,125.62µm
net79,124.91µm
net266,123.38µm
net502,123.045µm
net127,122µm
net130,121.8µm
net213,121.56µm
net41,121.26µm
net277,120.88µm
net244,120.77µm
net58,120.34µm
net23,119.42µm
clknet_leaf_9_clk,119.14µm
net260,117.96µm
net286,117.9µm
net110,117.84µm
net283,117.62µm
net282,117.56µm
clknet_leaf_12_clk,117.38µm
net147,117.12µm
net47,116.45µm
net82,116.2µm
net190,116.2µm
net65,115.36µm
net97,114.82µm
net30,114.78µm
net76,114.74µm
net61,114.54µm
net274,114.34µm
net129,113.26µm
net264,113.09µm
net280,113.02µm
net93,112.98µm
net227,111.68µm
clknet_leaf_21_clk,111.38µm
net177,111.3µm
net261,111.2µm
net251,110.22µm
net209,109.88µm
net46,109.62µm
clknet_leaf_17_clk,109.6µm
net180,108.86µm
net505,108.02µm
net512,107.72µm
net100,105.52µm
net192,105.36µm
net278,104.62µm
net276,104.52µm
net270,104.19µm
net275,104.18µm
clknet_leaf_6_clk,103.96µm
net233,103.52µm
net44,103.4µm
net64,102.7µm
net195,102.26µm
net212,102.14µm
clknet_leaf_14_clk,101.205µm
net174,100.8µm
clknet_leaf_1_clk,100.36µm
clknet_0_clk,100.3µm
net230,100.26µm
net258,99.955µm
net154,99.78µm
clknet_leaf_22_clk,99.64µm
net26,99.46µm
net56,99.18µm
net91,98.88µm
net262,98.4µm
net133,98.16µm
net248,96.74µm
net114,96.56µm
net216,94.94µm
net81,94.82µm
net164,93.42µm
net99,93.38µm
net38,92.68µm
net179,92.68µm
net118,91.42µm
clknet_leaf_3_clk,89.9µm
net74,89.84µm
net181,89.46µm
net215,89.42µm
net198,89.38µm
net232,89.38µm
net242,88.68µm
net21,88.46µm
net126,87.98µm
clknet_leaf_16_clk,87.74µm
net136,87.34µm
net191,87.34µm
net263,87.24µm
clknet_leaf_5_clk,87.22µm
net145,87.06µm
net135,86.18µm
net511,85.76µm
net197,85.32µm
net279,85.14µm
net109,84.88µm
net70,84.72µm
clknet_leaf_2_clk,84.23µm
net28,83.6µm
clknet_leaf_10_clk,83.48µm
net250,83.36µm
net134,83.04µm
net115,82.28µm
net27,81.72µm
net80,81µm
net116,80.96µm
net77,79.96µm
net225,79.5µm
net45,79.42µm
clknet_leaf_18_clk,79.3µm
clknet_leaf_7_clk,79.12µm
net438,77.525µm
net470,75.93µm
net162,75.9µm
net63,74.98µm
net207,74.98µm
net189,74.78µm
net131,74.5µm
net90,74.3µm
net268,74.04µm
net249,73.94µm
net151,73.56µm
net96,70.08µm
net59,70.04µm
net113,69.86µm
net98,69.46µm
net171,69.36µm
net42,68.42µm
net231,68.16µm
net245,68.08µm
net165,67.78µm
net155,67.76µm
net18,67.24µm
net214,66.36µm
net24,65.94µm
net148,65.94µm
net184,65.72µm
net132,65.68µm
net210,65.44µm
net108,65.1µm
net94,64.7µm
net196,64.48µm
net201,64.44µm
net125,64.15µm
net193,63.48µm
net60,63.1µm
net228,63.1µm
net43,61.88µm
net78,61.8µm
net168,60.72µm
net175,60.5µm
net178,60.46µm
net112,58.66µm
net25,58.54µm
net188,58.2µm
net72,57.74µm
net163,56.94µm
net284,56.14µm
net272,55.94µm
net152,52.62µm
net150,52.08µm
net247,51.76µm
net507,50.62µm
net69,50.02µm
net106,50µm
net211,49.62µm
net37,49.46µm
net200,49.26µm
net104,48µm
net55,47.78µm
net20,47.32µm
net158,47.32µm
net223,47.24µm
net504,47.16µm
net353,47.04µm
net52,46.82µm
net194,46.48µm
net229,46.4µm
net500,46.22µm
net389,45.94µm
net105,45.56µm
net144,45.28µm
net509,45.02µm
net166,44.74µm
net123,44.56µm
net241,44.14µm
net149,43.88µm
output_ai[216],43.56µm
output_ai[222],42.94µm
net183,42.22µm
net128,41.84µm
net142,41.28µm
net206,41µm
net122,39.66µm
net176,39.58µm
net141,39.12µm
net87,38.74µm
net88,38.24µm
net495,38.02µm
net121,37.44µm
net139,37.3µm
net204,36.91µm
net221,35.9µm
net510,35.72µm
net35,35.32µm
net218,35.22µm
output_ai[228],34.88µm
output_ai[211],34.84µm
net34,34.06µm
net239,33.76µm
net186,33.6µm
net161,33.04µm
output_ai[214],32.88µm
output_ai[220],32.46µm
output_ai[218],32.42µm
output_ai[195],32.12µm
net153,31.9µm
output_ai[233],31.68µm
net95,31.48µm
net53,31.46µm
output_ai[204],31.18µm
output_ai[226],30.9µm
net256,30.32µm
net378,30.28µm
net86,30.08µm
net219,30.04µm
output_ai[200],29.94µm
net254,29.7µm
output_ai[230],29.4µm
output_ai[186],28.92µm
output_ai[175],28.88µm
net17,28.68µm
output_ai[202],28.46µm
output_ai[215],28.28µm
net33,28.08µm
net167,28.06µm
output_ai[237],27.8µm
output_ai[201],27.7µm
output_ai[55],27.38µm
output_ai[188],27.36µm
net68,27.32µm
net255,27.28µm
output_ai[180],27.22µm
output_ai[193],27.12µm
net237,26.94µm
net203,26.62µm
output_ai[239],26.46µm
output_ai[181],26.44µm
output_ai[197],26.44µm
output_ai[209],26.44µm
output_ai[208],26.22µm
net103,26.18µm
output_ai[9],26.02µm
output_ai[207],25.98µm
net480,25.64µm
output_ai[229],25.54µm
output_ai[170],25.52µm
output_ai[184],25.52µm
net187,25.18µm
output_ai[235],25.02µm
output_ai[179],24.12µm
output_ai[225],24.02µm
output_ai[173],23.84µm
net140,23.72µm
net236,23.68µm
output_ai[210],23.64µm
output_ai[213],23.64µm
output_ai[168],23.32µm
output_ai[224],23.32µm
output_ai[37],23.24µm
output_ai[217],22.98µm
output_ai[206],22.82µm
output_ai[199],22.72µm
output_ai[203],22.72µm
output_ai[238],22.12µm
net205,22.06µm
output_ai[212],22.02µm
output_ai[178],21.84µm
output_ai[198],21.8µm
output_ai[166],21.7µm
output_ai[191],21.66µm
output_ai[167],21.6µm
output_ai[183],21.58µm
output_ai[231],21.34µm
output_ai[234],21.32µm
net367,21.32µm
output_ai[45],21.12µm
net89,21.04µm
output_ai[13],20.92µm
output_ai[15],20.92µm
output_ai[57],20.92µm
output_ai[43],20.88µm
output_ai[59],20.78µm
output_ai[194],20.74µm
net50,20.58µm
output_ai[63],20.44µm
output_ai[189],20.3µm
output_ai[158],20.28µm
output_ai[174],20.24µm
net253,20.12µm
output_ai[187],20.1µm
net54,20.08µm
net240,20.04µm
net185,19.98µm
output_ai[171],19.96µm
output_ai[236],19.96µm
output_ai[172],19.9µm
output_ai[185],19.88µm
net448,19.78µm
output_ai[41],19.76µm
output_ai[7],19.76µm
net107,19.74µm
output_ai[164],19.52µm
output_ai[196],19.52µm
output_ai[169],19.46µm
output_ai[232],19.44µm
output_ai[165],19.42µm
output_ai[223],19.38µm
output_ai[5],19.36µm
output_ai[192],19.32µm
output_ai[65],19.3µm
output_ai[31],19.28µm
net426,19.24µm
output_ai[182],19.18µm
output_ai[27],19.08µm
output_ai[47],19.08µm
output_ai[61],19.08µm
output_ai[67],19.08µm
output_ai[69],19.08µm
output_ai[190],18.98µm
output_ai[205],18.98µm
output_ai[149],18.94µm
output_ai[49],18.62µm
output_ai[51],18.62µm
output_ai[177],18.6µm
net414,18.6µm
output_ai[176],18.54µm
output_ai[227],18.54µm
output_ai[21],18.48µm
net471,18.28µm
output_ai[153],18.26µm
output_ai[219],18.26µm
output_ai[157],18.16µm
output_ai[17],18.14µm
output_ai[33],18.14µm
output_ai[50],18.04µm
output_ai[6],18.04µm
output_ai[151],17.92µm
output_ai[163],17.92µm
output_ai[19],17.92µm
output_ai[36],17.76µm
output_ai[162],17.66µm
output_ai[221],17.58µm
output_ai[154],17.52µm
output_ai[25],17.52µm
net323,17.46µm
net49,17.36µm
output_ai[147],17.24µm
output_ai[155],17.24µm
output_ai[161],17.24µm
output_ai[23],17.24µm
net19,17.2µm
output_ai[148],17.14µm
output_ai[24],17.12µm
output_ai[34],17.12µm
output_ai[52],17.12µm
output_ai[62],17.12µm
output_ai[12],17.06µm
output_ai[4],17.06µm
net220,16.98µm
output_ai[11],16.96µm
net159,16.82µm
output_ai[29],16.78µm
output_ai[35],16.78µm
output_ai[156],16.74µm
output_ai[14],16.72µm
output_ai[10],16.66µm
output_ai[40],16.66µm
output_ai[42],16.66µm
output_ai[18],16.6µm
output_ai[30],16.6µm
net222,16.52µm
net138,16.46µm
net238,16.44µm
output_ai[152],16.34µm
output_ai[26],16.26µm
output_ai[160],15.82µm
output_ai[150],15.78µm
output_ai[53],15.68µm
output_ai[72],15.68µm
output_ai[16],15.58µm
output_ai[20],15.58µm
output_ai[28],15.58µm
net169,15.56µm
output_ai[1],15.42µm
output_ai[0],15.38µm
output_ai[141],15.26µm
output_ai[75],15.26µm
output_ai[86],15.26µm
output_ai[145],14.92µm
output_ai[73],14.92µm
output_ai[22],14.9µm
output_ai[32],14.9µm
net492,14.88µm
output_ai[58],14.76µm
output_ai[38],14.66µm
output_ai[146],14.48µm
output_ai[80],14.46µm
output_ai[159],14.4µm
output_ai[139],14.24µm
output_ai[144],14.2µm
output_ai[138],14µm
output_ai[3],13.94µm
output_ai[44],13.94µm
output_ai[140],13.86µm
net160,13.86µm
net36,13.8µm
output_ai[77],13.78µm
output_ai[82],13.78µm
output_ai[2],13.74µm
output_ai[54],13.74µm
output_ai[143],13.56µm
output_ai[71],13.56µm
output_ai[88],13.54µm
output_ai[137],13.52µm
output_ai[142],13.52µm
output_ai[56],13.52µm
output_ai[46],13.48µm
output_ai[48],13.48µm
output_ai[74],13.4µm
output_ai[130],13.32µm
net117,13.22µm
output_ai[84],13.1µm
output_ai[127],13.08µm
output_ai[39],13.06µm
output_ai[60],13.06µm
output_ai[68],13.06µm
output_ai[70],13.06µm
output_ai[76],13.06µm
output_ai[78],13.06µm
net319,12.84µm
net363,12.84µm
net298,12.765µm
net85,12.7µm
net157,12.66µm
output_ai[128],12.64µm
output_ai[132],12.64µm
output_ai[134],12.64µm
output_ai[136],12.6µm
net143,12.46µm
net32,12.26µm
output_ai[79],12.14µm
output_ai[81],12.14µm
output_ai[83],12.14µm
output_ai[85],12.14µm
output_ai[87],12.14µm
net71,11.92µm
net356,11.92µm
output_ai[100],11.7µm
output_ai[106],11.7µm
output_ai[110],11.7µm
output_ai[66],11.7µm
output_ai[94],11.7µm
input_pc[11],11.68µm
input_pc[1],11.68µm
input_pc[4],11.68µm
input_pc[5],11.68µm
input_pc[6],11.68µm
input_pc[7],11.68µm
output_ai[105],11.68µm
output_ai[107],11.68µm
output_ai[109],11.68µm
output_ai[114],11.68µm
output_ai[116],11.68µm
output_ai[118],11.68µm
output_ai[120],11.68µm
output_ai[122],11.68µm
output_ai[129],11.68µm
output_ai[131],11.68µm
output_ai[133],11.68µm
output_ai[90],11.68µm
net297,11.64µm
net486,11.5µm
output_ai[112],11.48µm
net124,11.46µm
input_pc[10],11.34µm
input_pc[3],11.34µm
input_pc[8],11.34µm
input_pc[9],11.34µm
output_ai[89],11.26µm
output_ai[8],11.26µm
input_pc[14],11.22µm
output_ai[111],11.22µm
output_ai[135],11.22µm
_206_,11.05µm
net384,11.04µm
output_ai[108],11.02µm
output_ai[92],11.02µm
output_ai[96],11.02µm
net373,11µm
net170,10.96µm
input_pc[0],10.88µm
output_ai[126],10.8µm
net408,10.78µm
input_pc[12],10.76µm
input_pc[13],10.76µm
input_pc[15],10.76µm
input_pc[2],10.76µm
output_ai[101],10.76µm
output_ai[103],10.76µm
output_ai[104],10.76µm
output_ai[91],10.76µm
output_ai[93],10.76µm
output_ai[95],10.76µm
output_ai[97],10.76µm
output_ai[99],10.76µm
net374,10.56µm
net430,10.36µm
output_ai[102],10.34µm
output_ai[64],10.34µm
output_ai[98],10.34µm
net386,9.98µm
net346,9.46µm
output_ai[113],9.42µm
output_ai[115],9.42µm
net67,9.02µm
output_ai[125],8.96µm
net102,8.7µm
net370,8.48µm
net432,8.22µm
net172,8.14µm
output_ai[117],8.04µm
output_ai[119],8.04µm
output_ai[121],8.04µm
output_ai[123],8.04µm
output_ai[124],8.04µm
net496,7.905µm
net120,7.54µm
_081_,7.44µm
_041_,7.4µm
net459,6.94µm
net337,6.905µm
net499,6.82µm
_055_,6.52µm
_133_,6.4µm
net292,6.38µm
net467,6.26µm
_224_,6.16µm
net361,6.02µm
net457,6.02µm
_086_,5.99µm
_158_,5.99µm
net377,5.96µm
net411,5.96µm
