Instance name, X location, Y location, Voltage
FILLER_0_300_1705, 789.84, 829.6, 1.59993
FILLER_0_298_1701, 789.84, 824.16, 1.59954
FILLER_0_296_1701, 789.84, 818.72, 1.59952
FILLER_0_294_1701, 789.84, 813.28, 1.5994
FILLER_0_292_1701, 789.84, 807.84, 1.59963
FILLER_0_290_1701, 789.84, 802.4, 1.59848
FILLER_0_288_1701, 789.84, 796.96, 1.5983
FILLER_0_286_1701, 789.84, 791.52, 1.59927
FILLER_0_284_1701, 789.84, 786.08, 1.59859
FILLER_0_282_1701, 789.84, 780.64, 1.59905
FILLER_0_280_1701, 789.84, 775.2, 1.59848
FILLER_0_276_1701, 789.84, 764.32, 1.59707
FILLER_0_274_1700, 789.84, 758.88, 1.59796
FILLER_0_272_1700, 789.84, 753.44, 1.59729
_37300_, 789.84, 748, 1.59725
_37314_, 789.84, 748, 1.59725
FILLER_0_270_1702, 789.84, 748, 1.59725
_36402_, 789.84, 742.56, 1.59629
_36403_, 789.84, 742.56, 1.59629
_37315_, 789.84, 742.56, 1.59629
_37317_, 789.84, 742.56, 1.59629
_37318_, 789.84, 742.56, 1.59629
FILLER_0_269_1693, 789.84, 742.56, 1.59629
_36401_, 789.84, 737.12, 1.59666
_36405_, 789.84, 737.12, 1.59666
_37316_, 789.84, 737.12, 1.59666
_37346_, 789.84, 737.12, 1.59666
_38362_, 789.84, 737.12, 1.59666
_38363_, 789.84, 737.12, 1.59666
FILLER_0_266_1705, 789.84, 737.12, 1.59666
_37347_, 789.84, 731.68, 1.59678
_37349_, 789.84, 731.68, 1.59678
_37350_, 789.84, 731.68, 1.59678
_38364_, 789.84, 731.68, 1.59678
_43214_, 789.84, 726.24, 1.59699
FILLER_0_262_1703, 789.84, 726.24, 1.59699
FILLER_0_263_1704, 789.84, 726.24, 1.59699
_36431_, 789.84, 720.8, 1.59756
_37352_, 789.84, 720.8, 1.59756
_43210_, 789.84, 720.8, 1.59756
_43211_, 789.84, 720.8, 1.59756
_43213_, 789.84, 720.8, 1.59756
_43250_, 789.84, 720.8, 1.59756
FILLER_0_260_1700, 789.84, 720.8, 1.59756
FILLER_0_261_1701, 789.84, 720.8, 1.59756
FILLER_0_261_1709, 789.84, 720.8, 1.59756
_36435_, 789.84, 715.36, 1.59834
_41975_, 789.84, 715.36, 1.59834
_41976_, 789.84, 715.36, 1.59834
FILLER_0_258_1701, 789.84, 715.36, 1.59834
FILLER_0_260_1709, 789.84, 715.36, 1.59834
_35599_, 789.84, 709.92, 1.5989
_35601_, 789.84, 709.92, 1.5989
_36430_, 789.84, 709.92, 1.5989
_39507_, 789.84, 709.92, 1.5989
_39510_, 789.84, 709.92, 1.5989
_40724_, 789.84, 709.92, 1.5989
FILLER_0_256_1698, 789.84, 709.92, 1.5989
FILLER_0_257_1701, 789.84, 709.92, 1.5989
FILLER_0_257_1715, 789.84, 709.92, 1.5989
FILLER_0_258_1709, 789.84, 709.92, 1.5989
_38374_, 789.84, 704.48, 1.59897
_38375_, 789.84, 704.48, 1.59897
_39503_, 789.84, 704.48, 1.59897
_39505_, 789.84, 704.48, 1.59897
_40725_, 789.84, 704.48, 1.59897
FILLER_0_254_1705, 789.84, 704.48, 1.59897
FILLER_0_255_1705, 789.84, 704.48, 1.59897
FILLER_0_256_1709, 789.84, 704.48, 1.59897
_38368_, 789.84, 699.04, 1.5988
_38371_, 789.84, 699.04, 1.5988
_38372_, 789.84, 699.04, 1.5988
_38373_, 789.84, 699.04, 1.5988
_39500_, 789.84, 699.04, 1.5988
_39502_, 789.84, 699.04, 1.5988
FILLER_0_253_1698, 789.84, 699.04, 1.5988
FILLER_0_253_1708, 789.84, 699.04, 1.5988
_34828_, 789.84, 693.6, 1.59888
_34834_, 789.84, 693.6, 1.59888
_35568_, 789.84, 693.6, 1.59888
_35573_, 789.84, 693.6, 1.59888
_38369_, 789.84, 693.6, 1.59888
_39501_, 789.84, 693.6, 1.59888
FILLER_0_250_1705, 789.84, 693.6, 1.59888
FILLER_0_251_1709, 789.84, 693.6, 1.59888
_34827_, 789.84, 688.16, 1.59904
_34832_, 789.84, 688.16, 1.59904
_34833_, 789.84, 688.16, 1.59904
_35564_, 789.84, 688.16, 1.59904
FILLER_0_249_1707, 789.84, 688.16, 1.59904
FILLER_0_249_1715, 789.84, 688.16, 1.59904
FILLER_0_250_1709, 789.84, 688.16, 1.59904
_33536_, 789.84, 682.72, 1.59928
_34738_, 789.84, 682.72, 1.59928
_34830_, 789.84, 682.72, 1.59928
_35563_, 789.84, 682.72, 1.59928
FILLER_0_247_1693, 789.84, 682.72, 1.59928
FILLER_0_247_1701, 789.84, 682.72, 1.59928
FILLER_0_247_1713, 789.84, 682.72, 1.59928
FILLER_0_248_1709, 789.84, 682.72, 1.59928
_32987_, 789.84, 677.28, 1.59787
_33167_, 789.84, 677.28, 1.59787
_34242_, 789.84, 677.28, 1.59787
_34737_, 789.84, 677.28, 1.59787
_34829_, 789.84, 677.28, 1.59787
_34831_, 789.84, 677.28, 1.59787
FILLER_0_244_1700, 789.84, 677.28, 1.59787
FILLER_0_245_1699, 789.84, 677.28, 1.59787
_33165_, 789.84, 671.84, 1.59906
_33166_, 789.84, 671.84, 1.59906
_33168_, 789.84, 671.84, 1.59906
_33474_, 789.84, 671.84, 1.59906
_35406_, 789.84, 671.84, 1.59906
_35562_, 789.84, 671.84, 1.59906
fanout982, 789.84, 671.84, 1.59906
FILLER_0_243_1710, 789.84, 671.84, 1.59906
_32934_, 789.84, 666.4, 1.5986
_33164_, 789.84, 666.4, 1.5986
_33544_, 789.84, 666.4, 1.5986
_33881_, 789.84, 666.4, 1.5986
_33882_, 789.84, 666.4, 1.5986
_34381_, 789.84, 666.4, 1.5986
_35407_, 789.84, 666.4, 1.5986
fanout975, 789.84, 666.4, 1.5986
fanout977, 789.84, 666.4, 1.5986
FILLER_0_240_1705, 789.84, 666.4, 1.5986
_33883_, 789.84, 660.96, 1.59872
_36564_, 789.84, 660.96, 1.59872
_36565_, 789.84, 660.96, 1.59872
_36568_, 789.84, 660.96, 1.59872
_36570_, 789.84, 660.96, 1.59872
fanout979, 789.84, 660.96, 1.59872
FILLER_0_239_1712, 789.84, 660.96, 1.59872
FILLER_0_240_1709, 789.84, 660.96, 1.59872
_36294_, 789.84, 655.52, 1.59888
_36566_, 789.84, 655.52, 1.59888
_36567_, 789.84, 655.52, 1.59888
_36569_, 789.84, 655.52, 1.59888
_37705_, 789.84, 655.52, 1.59888
_37706_, 789.84, 655.52, 1.59888
FILLER_0_236_1697, 789.84, 655.52, 1.59888
FILLER_0_236_1705, 789.84, 655.52, 1.59888
FILLER_0_237_1712, 789.84, 655.52, 1.59888
_32800_, 789.84, 650.08, 1.5983
_33543_, 789.84, 650.08, 1.5983
_37703_, 789.84, 650.08, 1.5983
_37704_, 789.84, 650.08, 1.5983
_38766_, 789.84, 650.08, 1.5983
_38768_, 789.84, 650.08, 1.5983
_38769_, 789.84, 650.08, 1.5983
_38770_, 789.84, 650.08, 1.5983
FILLER_0_235_1698, 789.84, 650.08, 1.5983
FILLER_0_235_1712, 789.84, 650.08, 1.5983
FILLER_0_236_1709, 789.84, 650.08, 1.5983
_37702_, 789.84, 644.64, 1.59893
_38765_, 789.84, 644.64, 1.59893
_38767_, 789.84, 644.64, 1.59893
_40439_, 789.84, 644.64, 1.59893
FILLER_0_232_1701, 789.84, 644.64, 1.59893
FILLER_0_233_1708, 789.84, 644.64, 1.59893
_33233_, 789.84, 639.2, 1.59867
_33540_, 789.84, 639.2, 1.59867
_41973_, 789.84, 639.2, 1.59867
_41974_, 789.84, 639.2, 1.59867
_43209_, 789.84, 639.2, 1.59867
FILLER_0_230_1699, 789.84, 639.2, 1.59867
FILLER_0_231_1698, 789.84, 639.2, 1.59867
FILLER_0_232_1709, 789.84, 639.2, 1.59867
_32936_, 789.84, 633.76, 1.59915
_32937_, 789.84, 633.76, 1.59915
_40722_, 789.84, 633.76, 1.59915
_40723_, 789.84, 633.76, 1.59915
_41970_, 789.84, 633.76, 1.59915
_41971_, 789.84, 633.76, 1.59915
_41972_, 789.84, 633.76, 1.59915
FILLER_0_228_1695, 789.84, 633.76, 1.59915
FILLER_0_228_1705, 789.84, 633.76, 1.59915
_40721_, 789.84, 628.32, 1.59867
FILLER_0_226_1697, 789.84, 628.32, 1.59867
FILLER_0_226_1705, 789.84, 628.32, 1.59867
FILLER_0_227_1717, 789.84, 628.32, 1.59867
_33545_, 789.84, 622.88, 1.59859
_33546_, 789.84, 622.88, 1.59859
_34028_, 789.84, 622.88, 1.59859
_40718_, 789.84, 622.88, 1.59859
_40719_, 789.84, 622.88, 1.59859
_40720_, 789.84, 622.88, 1.59859
FILLER_0_225_1693, 789.84, 622.88, 1.59859
FILLER_0_225_1708, 789.84, 622.88, 1.59859
_33547_, 789.84, 617.44, 1.59882
_34027_, 789.84, 617.44, 1.59882
_34029_, 789.84, 617.44, 1.59882
_38370_, 789.84, 617.44, 1.59882
_39497_, 789.84, 617.44, 1.59882
_39499_, 789.84, 617.44, 1.59882
FILLER_0_222_1702, 789.84, 617.44, 1.59882
FILLER_0_223_1706, 789.84, 617.44, 1.59882
_37354_, 789.84, 612, 1.59919
_37355_, 789.84, 612, 1.59919
FILLER_0_220_1693, 789.84, 612, 1.59919
FILLER_0_221_1702, 789.84, 612, 1.59919
_33548_, 789.84, 606.56, 1.59919
_34533_, 789.84, 606.56, 1.59919
_42391_, 789.84, 606.56, 1.59919
_42392_, 789.84, 606.56, 1.59919
_42393_, 789.84, 606.56, 1.59919
_43236_, 789.84, 606.56, 1.59919
_43242_, 789.84, 606.56, 1.59919
FILLER_0_218_1703, 789.84, 606.56, 1.59919
