Instance name, X location, Y location, Voltage
ANTENNA_92, 636.24, 655.52, 1.79998
_31949_, 636.24, 650.08, 1.79995
_40229_, 636.24, 650.08, 1.79995
fanout447, 636.24, 650.08, 1.79995
FILLER_0_234_1369, 636.24, 650.08, 1.79995
_34045_, 636.24, 644.64, 1.79997
_36188_, 636.24, 644.64, 1.79997
_36189_, 636.24, 644.64, 1.79997
_36190_, 636.24, 644.64, 1.79997
_38421_, 636.24, 644.64, 1.79997
_38423_, 636.24, 644.64, 1.79997
ANTENNA_91, 636.24, 644.64, 1.79997
FILLER_0_233_1374, 636.24, 644.64, 1.79997
_38425_, 636.24, 639.2, 1.79997
_40391_, 636.24, 639.2, 1.79997
fanout451, 636.24, 639.2, 1.79997
ANTENNA_88, 636.24, 639.2, 1.79997
FILLER_0_230_1367, 636.24, 639.2, 1.79997
FILLER_0_232_1373, 636.24, 639.2, 1.79997
_28327_, 636.24, 633.76, 1.79997
_38426_, 636.24, 633.76, 1.79997
_38428_, 636.24, 633.76, 1.79997
_38429_, 636.24, 633.76, 1.79997
FILLER_0_228_1367, 636.24, 633.76, 1.79997
FILLER_0_230_1373, 636.24, 633.76, 1.79997
_33842_, 636.24, 628.32, 1.79996
_35966_, 636.24, 628.32, 1.79996
FILLER_0_226_1362, 636.24, 628.32, 1.79996
FILLER_0_227_1372, 636.24, 628.32, 1.79996
_30046_, 636.24, 622.88, 1.79996
_33844_, 636.24, 622.88, 1.79996
_35965_, 636.24, 622.88, 1.79996
_38194_, 636.24, 622.88, 1.79996
FILLER_0_224_1362, 636.24, 622.88, 1.79996
FILLER_0_225_1372, 636.24, 622.88, 1.79996
_40230_, 636.24, 617.44, 1.79995
_40235_, 636.24, 617.44, 1.79995
_40386_, 636.24, 617.44, 1.79995
FILLER_0_222_1368, 636.24, 617.44, 1.79995
FILLER_0_223_1372, 636.24, 617.44, 1.79995
_38192_, 636.24, 612, 1.79996
_38430_, 636.24, 612, 1.79996
FILLER_0_220_1366, 636.24, 612, 1.79996
FILLER_0_221_1378, 636.24, 612, 1.79996
FILLER_0_222_1373, 636.24, 612, 1.79996
_29882_, 636.24, 606.56, 1.79996
_31754_, 636.24, 606.56, 1.79996
_33846_, 636.24, 606.56, 1.79996
_35971_, 636.24, 606.56, 1.79996
_35973_, 636.24, 606.56, 1.79996
FILLER_0_219_1369, 636.24, 606.56, 1.79996
_33847_, 636.24, 601.12, 1.79994
_33848_, 636.24, 601.12, 1.79994
FILLER_0_216_1362, 636.24, 601.12, 1.79994
_36199_, 636.24, 595.68, 1.79994
_38431_, 636.24, 595.68, 1.79994
_38432_, 636.24, 595.68, 1.79994
_38433_, 636.24, 595.68, 1.79994
FILLER_0_215_1373, 636.24, 595.68, 1.79994
_40234_, 636.24, 590.24, 1.79993
FILLER_0_212_1361, 636.24, 590.24, 1.79993
FILLER_0_212_1369, 636.24, 590.24, 1.79993
