net,length_um
net33,857.36µm
net118,725.15µm
net139,705.56µm
net119,697.375µm
net44,691.13µm
net153,686.95µm
net137,668.72µm
net136,665.41µm
net135,650.69µm
net138,648.18µm
net126,647.53µm
net141,607.96µm
net31,600.5µm
net99,600.39µm
net40,578.13µm
net77,566.46µm
net536,563.99µm
net492,559.5µm
net246,549.42µm
net318,543.88µm
net41,535.67µm
net546,532.94µm
net351,522.25µm
net45,518.81µm
net67,517.12µm
net258,511.89µm
_02916_,510.03µm
net483,508.79µm
_00647_,507.81µm
net377,503.99µm
net497,500.345µm
net12,500.2µm
net337,500.01µm
net43,498.29µm
net68,491.74µm
net259,490.03µm
net522,487.76µm
clk,485.56µm
net143,485.13µm
net411,485.01µm
net175,484.785µm
net46,483.86µm
net42,473.14µm
net200,472.24µm
net332,464.485µm
net343,462.95µm
net221,461.11µm
net228,460.38µm
net204,460.18µm
net199,459.14µm
net429,453.16µm
net442,441.17µm
net355,438.28µm
net331,436.39µm
_05271_,432.95µm
net205,432.06µm
net452,431.17µm
net520,429.35µm
net210,428.79µm
net340,428.27µm
net201,424.49µm
net335,421.255µm
_04871_,419.6µm
net208,418.74µm
net69,418.32µm
net88,418.08µm
net142,412.94µm
_03231_,411.88µm
net202,411.4µm
net330,408.62µm
_00390_,407.455µm
net85,405.46µm
net499,403.26µm
net448,403.1µm
net211,403.06µm
net346,401.84µm
net209,400.56µm
net203,399.79µm
net227,394.68µm
net185,393.4µm
_01274_,390.96µm
net543,390.73µm
net70,390.02µm
net198,389.71µm
net164,387.52µm
_04864_,386.22µm
net37,385.73µm
net414,385.28µm
net110,383.51µm
_05269_,383.04µm
net490,382.25µm
net550,380.64µm
net226,380.26µm
net38,380.19µm
_02993_,377.24µm
net151,374.44µm
net256,374.24µm
net39,371.89µm
net217,371.42µm
_05033_,365.5µm
net320,365.3µm
net478,364.175µm
net263,361.86µm
net1,360.73µm
_03290_,358.62µm
net86,356.61µm
net197,355.93µm
_06415_,353.71µm
net325,352.9µm
net253,347.3µm
net326,346.08µm
net549,345.86µm
net503,345.1µm
net298,345.06µm
net225,343.68µm
_06937_,343.52µm
net407,338.885µm
net245,338.66µm
net316,336.46µm
net516,336.4µm
_02971_,336.36µm
net196,335.34µm
net206,333.34µm
net220,330.7µm
_00016_,330.65µm
_02939_,326.4µm
_02635_,324.05µm
net262,320.79µm
net213,319.92µm
net147,317.98µm
_01204_,317.52µm
net505,316.33µm
_00745_,314.06µm
net289,313.66µm
net120,313.14µm
net288,312.37µm
net109,310.13µm
_09564_,309.99µm
net158,308.93µm
net207,308.77µm
_01146_,307.4µm
net496,307.355µm
net495,306.92µm
net224,306.02µm
net300,305.48µm
net279,305.41µm
net400,304.4µm
_07653_,303.52µm
net487,302.61µm
net81,301.4µm
_00815_,300.74µm
_04610_,299.5µm
_02758_,299.07µm
net277,298.99µm
_08190_,298.85µm
net299,298.685µm
net195,298.12µm
net23,298.02µm
net486,296.47µm
net154,296.42µm
_10774_,296.18µm
_01056_,295.2µm
_01730_,294.515µm
_00354_,289.545µm
net315,287.45µm
_00909_,287.4µm
net174,287.325µm
_11139_,287.25µm
_01143_,286.13µm
_02958_,284.91µm
net87,284.56µm
net89,282.495µm
_08191_,281.94µm
net413,278.57µm
net244,278.18µm
net16,277.06µm
_01333_,274.94µm
net489,272.38µm
net36,272.36µm
_10311_,271.73µm
net79,271.4µm
net348,269.73µm
net55,269.4µm
_05829_,268.1µm
_02130_,267.63µm
_06403_,267.43µm
net223,266.65µm
net240,266.35µm
net34,265.92µm
_00998_,265.7µm
_02949_,264.28µm
net149,262.9µm
net511,262.805µm
net176,261.19µm
_01401_,261.185µm
net35,260.92µm
_03037_,259.47µm
net261,259.185µm
_04954_,258.78µm
net148,258.37µm
_05578_,257.29µm
_02716_,257µm
_06525_,256.49µm
