Instance name, X location, Y location, Voltage
_20985_, 373.66, 446.08, 1.79993
_21795_, 373.66, 446.08, 1.79993
input91, 373.66, 446.08, 1.79993
input92, 373.66, 446.08, 1.79993
input93, 373.66, 446.08, 1.79993
input94, 373.66, 446.08, 1.79993
input95, 373.66, 446.08, 1.79993
ANTENNA_input89_A, 373.66, 446.08, 1.79993
ANTENNA_input90_A, 373.66, 446.08, 1.79993
ANTENNA_input92_A, 373.66, 446.08, 1.79993
_19092_, 373.66, 440.64, 1.79994
_19250_, 373.66, 440.64, 1.79994
_19251_, 373.66, 440.64, 1.79994
_20986_, 373.66, 440.64, 1.79994
_21794_, 373.66, 440.64, 1.79994
fanout349, 373.66, 440.64, 1.79994
ANTENNA_input91_A, 373.66, 440.64, 1.79994
ANTENNA_input93_A, 373.66, 440.64, 1.79994
ANTENNA_input94_A, 373.66, 440.64, 1.79994
ANTENNA__19251__A, 373.66, 440.64, 1.79994
FILLER_0_142_697, 373.66, 440.64, 1.79994
FILLER_0_142_701, 373.66, 440.64, 1.79994
_19101_, 373.66, 435.2, 1.79993
_19252_, 373.66, 435.2, 1.79993
_20724_, 373.66, 435.2, 1.79993
_20726_, 373.66, 435.2, 1.79993
_20987_, 373.66, 435.2, 1.79993
ANTENNA_input95_A, 373.66, 435.2, 1.79993
ANTENNA_fanout349_A, 373.66, 435.2, 1.79993
ANTENNA__20987__A1, 373.66, 435.2, 1.79993
ANTENNA__19250__A, 373.66, 435.2, 1.79993
ANTENNA__20985__A, 373.66, 435.2, 1.79993
ANTENNA__19251__B, 373.66, 435.2, 1.79993
FILLER_0_141_710, 373.66, 435.2, 1.79993
_18006_, 373.66, 429.76, 1.79989
_18007_, 373.66, 429.76, 1.79989
_20725_, 373.66, 429.76, 1.79989
_21684_, 373.66, 429.76, 1.79989
ANTENNA__18007__A, 373.66, 429.76, 1.79989
ANTENNA__18006__A, 373.66, 429.76, 1.79989
ANTENNA__18006__B, 373.66, 429.76, 1.79989
FILLER_0_138_695, 373.66, 429.76, 1.79989
FILLER_0_139_703, 373.66, 429.76, 1.79989
_19103_, 373.66, 424.32, 1.79983
_19104_, 373.66, 424.32, 1.79983
_20728_, 373.66, 424.32, 1.79983
_21619_, 373.66, 424.32, 1.79983
FILLER_0_136_690, 373.66, 424.32, 1.79983
FILLER_0_136_701, 373.66, 424.32, 1.79983
FILLER_0_137_709, 373.66, 424.32, 1.79983
_19105_, 373.66, 418.88, 1.79981
_20729_, 373.66, 418.88, 1.79981
_20730_, 373.66, 418.88, 1.79981
_21697_, 373.66, 418.88, 1.79981
ANTENNA__21697__A, 373.66, 418.88, 1.79981
FILLER_0_134_691, 373.66, 418.88, 1.79981
FILLER_0_136_715, 373.66, 418.88, 1.79981
_17869_, 373.66, 413.44, 1.79984
_17870_, 373.66, 413.44, 1.79984
_19106_, 373.66, 413.44, 1.79984
_21699_, 373.66, 413.44, 1.79984
FILLER_0_132_697, 373.66, 413.44, 1.79984
FILLER_0_133_716, 373.66, 413.44, 1.79984
_12587_, 373.66, 408, 1.79986
_12588_, 373.66, 408, 1.79986
_19107_, 373.66, 408, 1.79986
_19108_, 373.66, 408, 1.79986
_20732_, 373.66, 408, 1.79986
FILLER_0_130_693, 373.66, 408, 1.79986
FILLER_0_130_701, 373.66, 408, 1.79986
_12591_, 373.66, 402.56, 1.79984
_20733_, 373.66, 402.56, 1.79984
_20734_, 373.66, 402.56, 1.79984
_21579_, 373.66, 402.56, 1.79984
_21698_, 373.66, 402.56, 1.79984
ANTENNA__21698__B, 373.66, 402.56, 1.79984
ANTENNA__20733__A, 373.66, 402.56, 1.79984
FILLER_0_128_703, 373.66, 402.56, 1.79984
FILLER_0_129_692, 373.66, 402.56, 1.79984
FILLER_0_129_708, 373.66, 402.56, 1.79984
FILLER_0_130_709, 373.66, 402.56, 1.79984
_12592_, 373.66, 397.12, 1.79986
_12603_, 373.66, 397.12, 1.79986
_13634_, 373.66, 397.12, 1.79986
_20773_, 373.66, 397.12, 1.79986
ANTENNA__20773__C, 373.66, 397.12, 1.79986
FILLER_0_126_693, 373.66, 397.12, 1.79986
FILLER_0_126_701, 373.66, 397.12, 1.79986
FILLER_0_127_701, 373.66, 397.12, 1.79986
_11230_, 373.66, 391.68, 1.79985
_12489_, 373.66, 391.68, 1.79985
_12531_, 373.66, 391.68, 1.79985
_12532_, 373.66, 391.68, 1.79985
_12593_, 373.66, 391.68, 1.79985
_12602_, 373.66, 391.68, 1.79985
_12793_, 373.66, 391.68, 1.79985
ANTENNA__12489__A, 373.66, 391.68, 1.79985
ANTENNA__12532__A, 373.66, 391.68, 1.79985
ANTENNA__12489__B, 373.66, 391.68, 1.79985
ANTENNA__12532__B, 373.66, 391.68, 1.79985
ANTENNA__12531__B, 373.66, 391.68, 1.79985
ANTENNA__12793__B, 373.66, 391.68, 1.79985
ANTENNA__12593__A, 373.66, 391.68, 1.79985
FILLER_0_125_694, 373.66, 391.68, 1.79985
_11226_, 373.66, 386.24, 1.79986
_12533_, 373.66, 386.24, 1.79986
_12596_, 373.66, 386.24, 1.79986
_12597_, 373.66, 386.24, 1.79986
_12598_, 373.66, 386.24, 1.79986
_12600_, 373.66, 386.24, 1.79986
_12601_, 373.66, 386.24, 1.79986
_13690_, 373.66, 386.24, 1.79986
ANTENNA__11226__A, 373.66, 386.24, 1.79986
ANTENNA__12531__A, 373.66, 386.24, 1.79986
ANTENNA__12600__A1, 373.66, 386.24, 1.79986
ANTENNA__12596__A1, 373.66, 386.24, 1.79986
FILLER_0_124_710, 373.66, 386.24, 1.79986
FILLER_0_124_717, 373.66, 386.24, 1.79986
_12490_, 373.66, 380.8, 1.79987
_12534_, 373.66, 380.8, 1.79987
_12535_, 373.66, 380.8, 1.79987
_12594_, 373.66, 380.8, 1.79987
_12595_, 373.66, 380.8, 1.79987
_12599_, 373.66, 380.8, 1.79987
_13691_, 373.66, 380.8, 1.79987
_13746_, 373.66, 380.8, 1.79987
_13795_, 373.66, 380.8, 1.79987
_13824_, 373.66, 380.8, 1.79987
ANTENNA__12535__A1, 373.66, 380.8, 1.79987
ANTENNA__12493__B, 373.66, 380.8, 1.79987
ANTENNA__13824__A, 373.66, 380.8, 1.79987
ANTENNA__13795__A, 373.66, 380.8, 1.79987
ANTENNA__12600__B2, 373.66, 380.8, 1.79987
ANTENNA__12595__A, 373.66, 380.8, 1.79987
_11222_, 373.66, 375.36, 1.79986
_12491_, 373.66, 375.36, 1.79986
_12500_, 373.66, 375.36, 1.79986
ANTENNA__12500__B1, 373.66, 375.36, 1.79986
ANTENNA__12491__A, 373.66, 375.36, 1.79986
ANTENNA__11222__A, 373.66, 375.36, 1.79986
ANTENNA__13796__A, 373.66, 375.36, 1.79986
ANTENNA__12599__A, 373.66, 375.36, 1.79986
FILLER_0_119_690, 373.66, 375.36, 1.79986
FILLER_0_119_704, 373.66, 375.36, 1.79986
FILLER_0_119_714, 373.66, 375.36, 1.79986
_12495_, 373.66, 369.92, 1.79979
_12496_, 373.66, 369.92, 1.79979
_12497_, 373.66, 369.92, 1.79979
ANTENNA__12494__A, 373.66, 369.92, 1.79979
ANTENNA__12502__B, 373.66, 369.92, 1.79979
ANTENNA__13779__B, 373.66, 369.92, 1.79979
FILLER_0_116_696, 373.66, 369.92, 1.79979
FILLER_0_117_717, 373.66, 369.92, 1.79979
FILLER_0_118_713, 373.66, 369.92, 1.79979
_12498_, 373.66, 364.48, 1.79969
_12542_, 373.66, 364.48, 1.79969
_12543_, 373.66, 364.48, 1.79969
_21062_, 373.66, 364.48, 1.79969
_21064_, 373.66, 364.48, 1.79969
_21752_, 373.66, 364.48, 1.79969
_21906_, 373.66, 364.48, 1.79969
_21818_, 373.66, 359.04, 1.79968
_21905_, 373.66, 359.04, 1.79968
_21907_, 373.66, 359.04, 1.79968
FILLER_0_112_701, 373.66, 359.04, 1.79968
_12511_, 373.66, 353.6, 1.79957
_21065_, 373.66, 353.6, 1.79957
_21719_, 373.66, 353.6, 1.79957
_21817_, 373.66, 353.6, 1.79957
_21908_, 373.66, 353.6, 1.79957
FILLER_0_110_701, 373.66, 353.6, 1.79957
FILLER_0_111_714, 373.66, 353.6, 1.79957
_12530_, 373.66, 348.16, 1.79956
_21057_, 373.66, 348.16, 1.79956
_21753_, 373.66, 348.16, 1.79956
_21909_, 373.66, 348.16, 1.79956
FILLER_0_109_707, 373.66, 348.16, 1.79956
FILLER_0_110_709, 373.66, 348.16, 1.79956
_12528_, 373.66, 342.72, 1.79977
_12545_, 373.66, 342.72, 1.79977
_21028_, 373.66, 342.72, 1.79977
_21056_, 373.66, 342.72, 1.79977
_21066_, 373.66, 342.72, 1.79977
FILLER_0_106_693, 373.66, 342.72, 1.79977
FILLER_0_106_701, 373.66, 342.72, 1.79977
FILLER_0_107_696, 373.66, 342.72, 1.79977
FILLER_0_108_708, 373.66, 342.72, 1.79977
_12554_, 373.66, 337.28, 1.79963
_19327_, 373.66, 337.28, 1.79963
_19493_, 373.66, 337.28, 1.79963
_19494_, 373.66, 337.28, 1.79963
_21055_, 373.66, 337.28, 1.79963
FILLER_0_104_701, 373.66, 337.28, 1.79963
FILLER_0_105_716, 373.66, 337.28, 1.79963
_18049_, 373.66, 331.84, 1.79941
_18051_, 373.66, 331.84, 1.79941
_18052_, 373.66, 331.84, 1.79941
_18053_, 373.66, 331.84, 1.79941
_21910_, 373.66, 331.84, 1.79941
FILLER_0_102_693, 373.66, 331.84, 1.79941
FILLER_0_102_701, 373.66, 331.84, 1.79941
FILLER_0_103_694, 373.66, 331.84, 1.79941
FILLER_0_103_712, 373.66, 331.84, 1.79941
