net,length_um
net33,1.12212mm
net565,1.07277mm
net579,1.03399mm
net576,964.8µm
net556,908.265µm
net44,882.58µm
net559,876.31µm
net126,870.79µm
net379,869.12µm
net135,866.21µm
net99,863.76µm
net12,855.24µm
net552,854.99µm
net303,846.7µm
net77,835.51µm
net40,812.27µm
net198,810.84µm
net476,805.87µm
net204,773.38µm
net1,772.02µm
net378,765.7µm
net202,762.48µm
net257,760.85µm
net41,758.63µm
net38,754.68µm
net43,742.96µm
net31,735.35µm
net585,731.02µm
net45,727.17µm
net364,724.08µm
net68,723.335µm
net142,713.89µm
net573,709.78µm
net39,703.76µm
net200,694.68µm
net367,692.58µm
net370,691.6µm
net67,691.41µm
net274,685.75µm
net69,680.9µm
net42,677.24µm
net457,675.495µm
net205,674.62µm
net46,673.25µm
net511,671.64µm
net273,667.99µm
net359,660.84µm
net210,658.75µm
net220,658.28µm
net554,657.96µm
net404,650.54µm
net143,642.06µm
net217,640.72µm
_03231_,627.95µm
net208,624.94µm
clk,622.03µm
net345,616µm
net362,605.75µm
net211,602.96µm
net228,597.595µm
_10774_,597.58µm
net88,585.54µm
net150,585.12µm
net357,584.36µm
net209,583.16µm
net201,582.84µm
net222,582.06µm
net271,582.04µm
net70,580.42µm
net480,579.62µm
_05269_,575.295µm
_05271_,575.135µm
net203,575.06µm
net358,574.5µm
net589,570.11µm
_02839_,567.91µm
net562,566.155µm
net37,562.06µm
net551,561.82µm
net256,561.65µm
net280,557.18µm
net315,556.46µm
net373,550.18µm
_04871_,542.2µm
net441,537.88µm
_04864_,536.12µm
net582,534.12µm
net505,532.94µm
net279,531.815µm
net438,528.4µm
net199,522.34µm
net533,521.74µm
net227,519.14µm
_01146_,518.72µm
_01143_,518.06µm
net120,516.54µm
_01056_,516.52µm
_00390_,512.2µm
net207,510.98µm
net353,507.27µm
net510,506.94µm
net213,504.735µm
net226,503.32µm
_00909_,502.98µm
net306,501.615µm
net325,495.655µm
_02993_,493.84µm
_11139_,490.18µm
net85,483.72µm
net383,480.465µm
net253,479.44µm
net527,478.66µm
_11141_,478.235µm
net153,477.1µm
net278,476.96µm
net180,476.56µm
_03290_,475.52µm
net352,473.74µm
net514,472.82µm
_09580_,466.52µm
net307,465.725µm
net218,465.1µm
_05033_,464.04µm
net86,463.07µm
net197,462.34µm
net525,457.64µm
net547,456.42µm
net347,455.78µm
_02939_,454.72µm
net225,454.6µm
_01401_,454.58µm
_00745_,452.71µm
_08206_,449.83µm
net175,448.82µm
net268,447.32µm
_02861_,445.77µm
net109,445.52µm
net164,444.98µm
_09578_,442.755µm
_01333_,440.26µm
net304,439.16µm
net206,435.44µm
net185,434.6µm
net196,431.76µm
_03323_,429.29µm
net434,426.715µm
net219,424.89µm
net35,423.92µm
net110,423.42µm
net97,422.61µm
net23,422.1µm
net195,421.94µm
_06951_,421.42µm
_02635_,418.26µm
_02982_,412.62µm
net34,411.86µm
_08207_,407.93µm
_00016_,404.76µm
_02823_,404.395µm
net531,404.02µm
net584,403.78µm
_01860_,402.015µm
_02986_,401.485µm
net16,400.9µm
net395,400.475µm
_02949_,400.18µm
_01274_,399.96µm
net36,398.62µm
net375,398.4µm
_02716_,395.22µm
net79,394.82µm
net399,394.6µm
net229,394.055µm
net316,393.61µm
_08230_,393.54µm
net519,393.015µm
net154,390.57µm
net147,389.84µm
_00354_,388.2µm
_10782_,387.93µm
_00826_,387.49µm
net327,387.16µm
_00743_,386.66µm
net521,384.18µm
_02931_,383.14µm
_02994_,383.14µm
net224,380.96µm
_10992_,379.24µm
net343,378.74µm
_01077_,377.68µm
_02945_,377.24µm
_03171_,372.08µm
_02610_,371µm
net174,370.49µm
_00389_,367.72µm
_01522_,367.3µm
_00577_,367.22µm
net276,367.14µm
net81,366.34µm
_10311_,365.1µm
net55,364.44µm
net328,364.44µm
net326,360.18µm
_00825_,359.68µm
_02936_,359.09µm
net176,358.405µm
_02984_,357.84µm
_01470_,357.76µm
_03037_,353.58µm
net255,353.43µm
_09957_,352.64µm
net52,352.04µm
_01861_,351.86µm
net173,351.06µm
net166,350.3µm
net146,349.62µm
_05829_,346.93µm
net87,346.095µm
net172,346.08µm
net574,345.945µm
net520,345.87µm
_10445_,345.4µm
_01502_,345.38µm
net158,342.825µm
net177,342.695µm
net137,341.72µm
_02894_,340.92µm
_05578_,340.64µm
net223,340.36µm
_01554_,339.66µm
net72,338.1µm
_09124_,337.14µm
_01730_,337.12µm
net171,336.66µm
net230,335.68µm
_02971_,334.875µm
_09958_,333.71µm
net246,333.44µm
net324,333.32µm
_02905_,330.58µm
net148,330.56µm
net504,330.26µm
_00815_,329.8µm
_06316_,328.31µm
net401,326.9µm
_01794_,326.055µm
net168,324.44µm
net260,323.04µm
_03191_,322.2µm
net290,321.815µm
_03227_,320.95µm
_00212_,320.68µm
_03386_,320.52µm
_08918_,320.04µm
net356,319.91µm
_01539_,319.68µm
_02957_,316.075µm
_02965_,315.755µm
net277,315.6µm
_01020_,315.46µm
net57,313.885µm
_09062_,313.58µm
net53,313.375µm
net341,313.25µm
_04288_,313.12µm
_01573_,313.08µm
net323,312.78µm
net145,312.42µm
_06937_,311.32µm
net437,309.44µm
_05654_,309.18µm
_03373_,309.14µm
net178,308.14µm
net515,307.97µm
net581,307.195µm
_08311_,306.68µm
net468,306.5µm
net84,306.455µm
_08578_,305.95µm
net542,304.155µm
_06525_,303.91µm
net149,303.82µm
_09684_,303.78µm
net319,303.24µm
_01487_,302.84µm
net292,302.66µm
net305,302.56µm
_03387_,301.02µm
net536,300.035µm
net163,299.9µm
net517,299.855µm
net170,299.66µm
net405,299.47µm
net62,299.235µm
_09091_,299.1µm
_03096_,298.82µm
