net,length_um
net1031,453.91µm
_24300_,453.6µm
net492,453.09µm
net640,451.64µm
net305,451.07µm
net78,450.055µm
lowshift.data\[45\],449.85µm
net473,449.59µm
net46,449.535µm
_30944_,449.5µm
_04823_,448.38µm
_00503_,446.69µm
_03769_,446.63µm
net359,445.27µm
net801,445.11µm
net985,444.87µm
net187,444.32µm
net75,444.3µm
lowshift.data\[122\],443.51µm
lowshift.data\[208\],443.38µm
net932,442.89µm
_03816_,442.54µm
_23283_,442.2µm
net176,442.09µm
net95,440.43µm
net308,439.92µm
_03771_,439.77µm
_01702_,439.54µm
_32283_,439.36µm
_05854_,439.08µm
net340,438.99µm
_32378_,438.94µm
net130,438µm
net177,437.78µm
net79,437.59µm
net269,437.49µm
_11204_,437.44µm
_24658_,437.15µm
lowshift.data\[13\],436.44µm
lowshift.data\[12\],435.71µm
_01438_,435.42µm
_32461_,433.88µm
net541,433.48µm
_09534_,432.47µm
lowshift.data\[1\],431.94µm
net636,430.54µm
net740,428.78µm
net972,428.48µm
net759,428.39µm
_09621_,428.24µm
_20406_,428.21µm
_06535_,428.14µm
_04656_,427.76µm
clknet_4_14__leaf_clk,426.89µm
_13701_,426.14µm
net1061,425.98µm
_09546_,425.61µm
net166,425µm
_03862_,424.8µm
_24505_,424.19µm
_04979_,424µm
_05533_,423.75µm
_04151_,423.67µm
_24904_,422.86µm
net436,422.75µm
net548,422.23µm
_31956_,421.845µm
net974,421.65µm
_30046_,421.45µm
clknet_4_15__leaf_clk,420.68µm
net161,420.64µm
net958,420.54µm
_22535_,420.43µm
_02411_,420.34µm
net11,419.94µm
_11929_,419.78µm
net159,418.76µm
_32638_,418.71µm
net251,418.48µm
_00865_,417.42µm
_32642_,415.1µm
net691,414.75µm
net90,414.59µm
net851,414.58µm
_07682_,414.27µm
net837,414.22µm
clknet_2_2_0_clk,414.19µm
net180,414.16µm
_02830_,413.24µm
net124,412.6µm
net840,412.58µm
net97,412.325µm
_10979_,411.79µm
net782,411.27µm
net10,411.2µm
_04203_,410.35µm
_13703_,407.51µm
net1029,407.35µm
net457,406.77µm
_32411_,406.37µm
_28989_,406.27µm
lowshift.data\[55\],406.25µm
net253,405.01µm
net134,404.54µm
net1048,403.86µm
net102,403.44µm
_04697_,401.63µm
_00525_,400.88µm
clknet_4_10__leaf_clk,400.8µm
_20030_,400.5µm
_16638_,400.48µm
_01689_,399.92µm
lowshift.data\[209\],399.9µm
_11040_,398.66µm
net723,398.64µm
net499,398.29µm
_05606_,397.91µm
_17709_,397.82µm
net573,397.71µm
_08281_,397.48µm
net1009,396.74µm
_06942_,396.63µm
_02786_,396.355µm
net109,396.24µm
_27818_,396.01µm
_04932_,395.07µm
_06390_,394.8µm
_05652_,394.58µm
net268,394.14µm
net577,393.96µm
lowshift.data\[38\],393.36µm
_05428_,393.32µm
lowshift.data\[215\],392.45µm
_06902_,391.99µm
_29773_,391.76µm
_03768_,391.25µm
net1033,391.22µm
net45,391.2µm
net63,391.2µm
_04980_,391.07µm
net275,390.78µm
_19655_,390.56µm
_04720_,389.32µm
_08214_,388.44µm
net289,387.5µm
_00712_,386.84µm
net131,386.78µm
net708,386.6µm
_22022_,386.2µm
_05845_,385.14µm
net362,384.85µm
_24107_,384.51µm
lowshift.data\[211\],383.93µm
clknet_4_6__leaf_clk,383.66µm
_12400_,383.55µm
_02559_,383.35µm
net132,382.76µm
_06037_,382.71µm
net348,382.33µm
_24306_,382.16µm
_10208_,381.72µm
net137,381.6µm
net373,381.47µm
net9,380.52µm
_05432_,380.45µm
_01733_,380.44µm
lowshift.data\[214\],380.015µm
_13731_,379.16µm
_05915_,379.12µm
net175,379.01µm
_21182_,378.78µm
net155,378.47µm
net624,378.37µm
_25239_,378.09µm
lowshift.data\[216\],377.98µm
highshift.data\[20\],377.84µm
highshift.data\[108\],377.09µm
_13130_,376.75µm
lowshift.data\[217\],376.69µm
clknet_4_2__leaf_clk,376.62µm
_03192_,375.73µm
lowshift.data\[156\],375.53µm
_11839_,375.37µm
_13693_,375.28µm
_24908_,374.99µm
net186,374.92µm
net138,374.1µm
net165,373.94µm
_15425_,373.33µm
lowshift.data\[79\],373.22µm
net370,372.81µm
clknet_4_11__leaf_clk,372.47µm
_20937_,371.76µm
_25016_,371.72µm
net1111,371.62µm
net91,370.75µm
net135,370.73µm
lowshift.data\[98\],370.46µm
_02418_,370.33µm
_13112_,369.72µm
net715,369.59µm
net582,369.14µm
net587,368.61µm
_03779_,368.25µm
_11799_,368.07µm
net890,367.88µm
net147,367.82µm
net433,367.74µm
net235,367.1µm
net845,367.06µm
_15662_,366.87µm
net106,366.06µm
_05631_,364.97µm
_11747_,364.96µm
_29749_,364.88µm
_01198_,364.85µm
net179,364.74µm
_20726_,364.62µm
net485,363.71µm
net434,363.56µm
_17975_,362.93µm
net116,362.88µm
net185,362.78µm
net762,362.17µm
_06694_,361.62µm
net841,361.12µm
_26703_,361.055µm
net170,361.04µm
_10765_,360.98µm
net285,360.58µm
_24968_,360.35µm
net432,360.11µm
net167,359.31µm
_02256_,358.34µm
_07377_,358.22µm
_18276_,358.08µm
_28785_,358.04µm
_12085_,357.68µm
_04178_,357.62µm
lowshift.data\[219\],357.54µm
net183,357.25µm
_00475_,357.105µm
_32477_,356.68µm
net411,356.66µm
net403,356.58µm
lowshift.data\[62\],356.535µm
_05986_,356.44µm
net568,356.26µm
net701,355.995µm
_03784_,355.71µm
net635,354.88µm
net42,354.74µm
_16637_,354.6µm
_04919_,354.54µm
lowshift.data\[97\],354.39µm
_09044_,354.24µm
_02232_,353.85µm
lowshift.data\[47\],353.52µm
_14180_,353.11µm
lowshift.data\[218\],352.915µm
_24339_,352.67µm
_04769_,352.62µm
_07832_,352.4µm
_09262_,352.4µm
_03814_,352.395µm
net1075,351.72µm
lowshift.data\[194\],351.54µm
lowshift.data\[105\],350.86µm
_23073_,350.46µm
_31088_,350.37µm
_15927_,349.8µm
clknet_4_0__leaf_clk,349.58µm
_02773_,349.12µm
net1110,348.63µm
_00536_,348.52µm
highshift.data\[109\],348.17µm
_03851_,347.55µm
net122,347.38µm
_05487_,347.24µm
net162,347.08µm
_06274_,347.04µm
net928,346.85µm
_10624_,346.67µm
net831,346.38µm
net1049,346.2µm
lowshift.data\[51\],345.9µm
net757,345.49µm
_04202_,345.38µm
lowshift.data\[50\],344.65µm
_08260_,344.36µm
highshift.data\[171\],344.1µm
_06809_,343.67µm
highshift.data\[106\],342.74µm
_10403_,342.64µm
_04120_,342.5µm
net515,342.085µm
_12048_,341.95µm
lowshift.data\[104\],341.6µm
_24679_,341.29µm
_25761_,340.99µm
net146,340.64µm
_09774_,340.08µm
net603,340.04µm
_10389_,339.96µm
_19571_,339.95µm
_10609_,339.91µm
_12395_,339.85µm
_12049_,339.34µm
highshift.data\[192\],339.31µm
lowshift.data\[158\],339.265µm
net780,339.22µm
net748,339.08µm
_20725_,338.79µm
net686,337.9µm
net614,337.89µm
net139,337.85µm
_02512_,337.69µm
_15648_,337.55µm
net667,337.37µm
_12969_,337.3µm
net662,337.04µm
_11916_,337.02µm
_32600_,336.69µm
net315,336.5µm
net1069,336.5µm
_03760_,336.24µm
_25197_,335.81µm
_05701_,335.48µm
_24970_,335.43µm
_24394_,335.35µm
_13087_,335.14µm
net143,334.94µm
_03929_,334.91µm
_20878_,334.43µm
net718,333.89µm
_06916_,333.82µm
_04920_,333.46µm
net1003,333.3µm
lowshift.data\[160\],333.18µm
_22581_,333.14µm
_32525_,332.9µm
_10679_,332.79µm
_26171_,332.52µm
highshift.data\[25\],332.41µm
_29696_,332.14µm
_04915_,331.93µm
net1045,331.85µm
_07578_,331.82µm
net968,331.7µm
net402,330.38µm
_07146_,330.08µm
_23003_,330.05µm
_24396_,329.44µm
_02610_,328.9µm
net927,328.79µm
_05408_,328.61µm
_21938_,328.18µm
_06650_,327.94µm
_11680_,327.94µm
_28873_,327.65µm
net1043,327.235µm
net151,327.06µm
net1017,326.82µm
_06825_,326.76µm
_05849_,326.44µm
_24682_,326.22µm
net497,326.18µm
_16433_,326.16µm
