net,length_um
net1190,1.46295mm
net1118,1.06714mm
net799,1.04667mm
net138,1.04359mm
net797,1.01905mm
net356,995.57µm
net805,989.62µm
net432,964.77µm
_04689_,963.3µm
net176,938.74µm
net248,927.55µm
net252,916µm
_04694_,911.89µm
net786,857.43µm
_04283_,856.5µm
net824,834.35µm
net634,829.92µm
clknet_0_clk,825.28µm
net785,817.14µm
net514,806.91µm
net791,805.93µm
net789,797.585µm
_19013_,785.06µm
net794,778.39µm
net1036,771.96µm
net802,762.94µm
net808,762.4µm
highshift.data\[12\],759.69µm
_32334_,759.16µm
_03845_,758.07µm
net734,753.76µm
net421,744.66µm
_03809_,733.79µm
net145,729.72µm
net352,727.94µm
net130,726.99µm
net244,721.99µm
_24426_,721.14µm
_03827_,719.41µm
net238,717.55µm
highshift.data\[11\],715.695µm
net1174,714.245µm
clk,713.39µm
_32268_,712.85µm
net729,712.08µm
net667,709.67µm
net90,705.8µm
net586,704.63µm
net232,704.52µm
lowshift.data\[23\],704.34µm
net223,704.34µm
net568,703.87µm
_05199_,699.55µm
net662,696.61µm
net324,696.03µm
_04601_,694.66µm
net127,690.17µm
net628,689.44µm
_00701_,689.28µm
_32422_,686.1µm
net87,685.75µm
lowshift.data\[25\],680.89µm
net429,679.19µm
_17414_,679.17µm
lowshift.data\[14\],675.86µm
net757,674.885µm
_00843_,674.84µm
net1125,674.69µm
lowshift.data\[24\],674.42µm
_32543_,671.48µm
_04751_,666.75µm
net337,665.75µm
net249,664.88µm
net639,655.98µm
net154,653.93µm
net1092,653.3µm
net1093,651.67µm
_17165_,651.08µm
net328,649.8µm
net672,649.05µm
net219,645.07µm
net704,636.31µm
net513,633.35µm
lowshift.data\[31\],632.55µm
net469,631.02µm
lowshift.data\[29\],629.91µm
net692,625.3µm
net321,624.62µm
net1121,620.69µm
lowshift.data\[28\],612.59µm
net349,609.54µm
_01722_,609.45µm
_09502_,609.26µm
lowshift.data\[20\],607.82µm
_03850_,603.16µm
lowshift.data\[11\],601.47µm
_05018_,596.63µm
net370,594.9µm
_04326_,594.79µm
net873,590.68µm
net1151,590.6µm
net341,590.02µm
net265,587.1µm
_05053_,586.64µm
lowshift.data\[7\],584.67µm
net48,584.48µm
net85,582.5µm
net136,581.225µm
_04600_,581.12µm
net144,579.7µm
_00602_,578.34µm
net178,574.44µm
net346,573.12µm
net334,572.42µm
lowshift.data\[19\],571.47µm
_24505_,569.92µm
net375,566.58µm
net229,565.88µm
net1098,565.835µm
net811,565.77µm
net1094,564.51µm
net336,564.38µm
_05020_,563.46µm
_09516_,563.34µm
clknet_4_6__leaf_clk,562.66µm
net643,560.52µm
net89,559.38µm
net367,558.95µm
net260,558.385µm
net1096,556.25µm
_07711_,553.535µm
net332,552.69µm
_14901_,551.24µm
lowshift.data\[112\],550.62µm
net651,549.94µm
_04930_,549.86µm
_32510_,549.28µm
_09500_,548.31µm
net263,546.47µm
clknet_4_14__leaf_clk,546.4µm
net40,546.39µm
_09458_,546.02µm
_00887_,541.93µm
net818,541.7µm
lowshift.data\[22\],539.94µm
net126,538.08µm
net286,537.63µm
net241,536.78µm
_24914_,536.67µm
_05026_,536.61µm
net380,534.96µm
net240,534.42µm
