Instance name, X location, Y location, Voltage
_16805_, 946.74, 685.44, 2.10655e-05
_16806_, 946.74, 685.44, 2.10655e-05
_17953_, 946.74, 685.44, 2.10655e-05
input122, 946.74, 685.44, 2.10655e-05
input123, 946.74, 685.44, 2.10655e-05
input124, 946.74, 685.44, 2.10655e-05
FILLER_0_247_2033, 946.74, 685.44, 2.10655e-05
FILLER_0_248_2040, 946.74, 685.44, 2.10655e-05
FILLER_0_248_2056, 946.74, 685.44, 2.10655e-05
_16807_, 946.74, 680, 1.33598e-05
_16808_, 946.74, 680, 1.33598e-05
FILLER_0_246_2037, 946.74, 680, 1.33598e-05
_12716_, 946.74, 674.56, 1.10951e-05
_12717_, 946.74, 674.56, 1.10951e-05
_16809_, 946.74, 674.56, 1.10951e-05
FILLER_0_244_2037, 946.74, 674.56, 1.10951e-05
_12718_, 946.74, 669.12, 2.59134e-05
FILLER_0_241_2041, 946.74, 669.12, 2.59134e-05
FILLER_0_242_2037, 946.74, 669.12, 2.59134e-05
_12635_, 946.74, 663.68, 2.99129e-05
_12636_, 946.74, 663.68, 2.99129e-05
_12659_, 946.74, 663.68, 2.99129e-05
FILLER_0_240_2037, 946.74, 663.68, 2.99129e-05
FILLER_0_241_2049, 946.74, 663.68, 2.99129e-05
_12623_, 946.74, 658.24, 2.89869e-05
_12624_, 946.74, 658.24, 2.89869e-05
_12634_, 946.74, 658.24, 2.89869e-05
_12637_, 946.74, 658.24, 2.89869e-05
FILLER_0_238_2045, 946.74, 658.24, 2.89869e-05
_12625_, 946.74, 652.8, 4.05107e-05
_12626_, 946.74, 652.8, 4.05107e-05
_12633_, 946.74, 652.8, 4.05107e-05
_16810_, 946.74, 652.8, 4.05107e-05
FILLER_0_236_2040, 946.74, 652.8, 4.05107e-05
FILLER_0_236_2045, 946.74, 652.8, 4.05107e-05
_12615_, 946.74, 647.36, 2.95558e-05
FILLER_0_233_2041, 946.74, 647.36, 2.95558e-05
FILLER_0_234_2045, 946.74, 647.36, 2.95558e-05
_12616_, 946.74, 641.92, 1.8694e-05
_12617_, 946.74, 641.92, 1.8694e-05
_12631_, 946.74, 641.92, 1.8694e-05
_12660_, 946.74, 641.92, 1.8694e-05
FILLER_0_231_2040, 946.74, 641.92, 1.8694e-05
FILLER_0_232_2036, 946.74, 641.92, 1.8694e-05
FILLER_0_232_2045, 946.74, 641.92, 1.8694e-05
_12618_, 946.74, 636.48, 2.46557e-05
_12630_, 946.74, 636.48, 2.46557e-05
_12632_, 946.74, 636.48, 2.46557e-05
FILLER_0_230_2040, 946.74, 636.48, 2.46557e-05
FILLER_0_230_2045, 946.74, 636.48, 2.46557e-05
_12641_, 946.74, 631.04, 2.87905e-05
_12642_, 946.74, 631.04, 2.87905e-05
FILLER_0_228_2037, 946.74, 631.04, 2.87905e-05
FILLER_0_228_2045, 946.74, 631.04, 2.87905e-05
_12647_, 946.74, 625.6, 3.27887e-05
FILLER_0_225_2041, 946.74, 625.6, 3.27887e-05
_12646_, 946.74, 620.16, 3.62513e-05
_12648_, 946.74, 620.16, 3.62513e-05
FILLER_0_224_2036, 946.74, 620.16, 3.62513e-05
_12666_, 946.74, 614.72, 4.28993e-05
FILLER_0_222_2036, 946.74, 614.72, 4.28993e-05
FILLER_0_223_2047, 946.74, 614.72, 4.28993e-05
_12678_, 946.74, 609.28, 6.67203e-05
_12679_, 946.74, 609.28, 6.67203e-05
_12681_, 946.74, 609.28, 6.67203e-05
_12682_, 946.74, 609.28, 6.67203e-05
FILLER_0_220_2045, 946.74, 609.28, 6.67203e-05
FILLER_0_221_2053, 946.74, 609.28, 6.67203e-05
_12683_, 946.74, 603.84, 5.77963e-05
_12684_, 946.74, 603.84, 5.77963e-05
_12685_, 946.74, 603.84, 5.77963e-05
_12696_, 946.74, 603.84, 5.77963e-05
FILLER_0_217_2036, 946.74, 603.84, 5.77963e-05
FILLER_0_218_2038, 946.74, 603.84, 5.77963e-05
_12695_, 946.74, 598.4, 5.10319e-05
_12705_, 946.74, 598.4, 5.10319e-05
FILLER_0_216_2034, 946.74, 598.4, 5.10319e-05
_12701_, 946.74, 592.96, 5.56222e-05
_12706_, 946.74, 592.96, 5.56222e-05
FILLER_0_213_2042, 946.74, 592.96, 5.56222e-05
FILLER_0_214_2033, 946.74, 592.96, 5.56222e-05
