net,length_um
net33,910.965µm
net549,889.2µm
net99,774.38µm
net560,770.85µm
net118,757.61µm
net126,732.88µm
net44,726.27µm
net139,721.815µm
net77,716.63µm
net135,712.79µm
net109,684.39µm
net141,663.71µm
net40,651.68µm
_02916_,642.08µm
net361,638.075µm
net252,635.785µm
net203,630.055µm
net198,624.99µm
net1,624.69µm
net202,624.44µm
net557,622.145µm
net138,608.63µm
net204,603.07µm
net37,602.495µm
net208,589.9µm
net41,588.835µm
net43,587.515µm
net498,585.84µm
net38,579.385µm
net12,573.35µm
clk,571.99µm
net221,571.775µm
net45,570.835µm
net200,566.17µm
net110,562.21µm
_00647_,556.74µm
net39,552.09µm
net328,551.515µm
net68,548.48µm
net265,538.75µm
net389,536.24µm
net46,535.775µm
net67,535.48µm
net209,534.91µm
net217,533.365µm
net540,529.42µm
net143,522.01µm
net444,519.34µm
_04871_,517.33µm
net228,512.96µm
net69,512.75µm
net201,509.48µm
net546,506.86µm
net464,503.56µm
net42,501.09µm
_00390_,500.82µm
net353,496.62µm
net565,494.26µm
net210,493.02µm
net347,491.17µm
net70,482.465µm
net120,480.26µm
net266,477.92µm
net426,476.47µm
_03231_,472.71µm
_04864_,470.35µm
net251,459.24µm
net335,452.235µm
net162,451.85µm
net205,451.44µm
net211,450.18µm
net227,450.08µm
net342,447.6µm
net153,447.2µm
net350,446.54µm
net199,445.99µm
net493,441.32µm
net226,438.58µm
net207,435.76µm
net88,434µm
net142,432.36µm
_01056_,431.58µm
net468,430.62µm
_00909_,430µm
net220,429.4µm
net572,429.06µm
net345,424.07µm
_05033_,423.655µm
_10774_,417.5µm
net341,417.335µm
net340,417.2µm
net152,415.51µm
net356,414.76µm
net31,412.54µm
net298,407.92µm
net197,407.74µm
net520,403.955µm
net271,402.37µm
net185,400.84µm
_01274_,399.62µm
net270,398.555µm
net330,398.37µm
net195,397.84µm
net225,397.51µm
net365,394.72µm
_11139_,393.9µm
net310,393.4µm
net180,388.475µm
net538,386.18µm
_11141_,384.62µm
_01146_,383.54µm
_01143_,380.62µm
_05271_,375.915µm
net289,375.75µm
net175,374.43µm
net206,373.96µm
net512,372.92µm
net164,372.62µm
_02993_,369.64µm
net264,368.97µm
net150,367.44µm
net423,365.5µm
net35,363.37µm
_03290_,361.305µm
net85,359.63µm
_00016_,356.9µm
_08206_,356.54µm
net147,356.14µm
net196,354.26µm
net36,353.54µm
_09580_,352.68µm
net170,350.36µm
net287,350.29µm
net336,349.38µm
_09578_,346.385µm
_00743_,346.3µm
_03323_,345.99µm
net534,344.22µm
net309,344.055µm
net326,343.82µm
net224,341.98µm
net86,341.26µm
net273,340.52µm
_08207_,334.77µm
_00825_,334.76µm
net218,334.47µm
net311,332.51µm
net146,332.45µm
net250,332.45µm
_01333_,332.26µm
net23,331.44µm
net81,331.29µm
net507,330.78µm
net299,329.35µm
_02839_,328.97µm
net505,328.95µm
_01401_,328.37µm
net279,327.46µm
_01730_,322.945µm
net148,322.61µm
net288,321.45µm
_02982_,320.75µm
net97,320.52µm
_02939_,318.71µm
net308,318.415µm
net419,318.335µm
net174,312.09µm
net223,310.88µm
_06951_,310.52µm
_02635_,310.505µm
net87,310.08µm
net504,305.39µm
