net,length_um
net136,1.32526mm
net221,1.26522mm
net99,1.25346mm
net88,1.09374mm
net135,1.081755mm
net126,1.06715mm
net33,1.04847mm
net119,1.02322mm
net139,1.0196mm
net220,1.0153mm
net44,1.00788mm
net138,991.01µm
net383,936.22µm
net40,892.5µm
net380,890.92µm
_02916_,868.42µm
net374,851.84µm
net118,841.48µm
net41,841.36µm
net62,838.81µm
net68,826.83µm
net566,826.04µm
net377,822.82µm
net587,820.125µm
net202,813.38µm
net67,811.36µm
net39,809.18µm
net43,798.85µm
net204,797.34µm
net203,793.04µm
net260,788.8µm
net45,774.995µm
net12,771.8µm
net217,763.86µm
net42,760.93µm
net141,755.15µm
net46,754.54µm
_05271_,753.02µm
net208,741.08µm
net526,739.83µm
net89,737.02µm
net209,734.16µm
clk,734.13µm
net369,734.06µm
net368,723.4µm
net146,720.55µm
net205,713.78µm
net143,713.54µm
net210,711.18µm
net69,709.285µm
net591,707.02µm
net560,706.88µm
net355,702.78µm
net23,700.79µm
net372,695.14µm
net70,692.29µm
net211,684.42µm
net218,679.62µm
net222,674.98µm
net331,667.8µm
net367,666.515µm
net281,663.38µm
_05269_,662.425µm
net520,662.28µm
net576,659.02µm
net389,655.72µm
net219,652.62µm
net542,648.06µm
net280,646.4µm
_00390_,644.02µm
net77,643.66µm
net81,641.45µm
net484,637.3µm
_11141_,634.64µm
net79,632.065µm
net584,630.68µm
net554,627.08µm
net199,625.84µm
net228,623.6µm
_10774_,622.94µm
_03231_,616.72µm
net109,609.44µm
net529,604.3µm
net415,603.78µm
net201,601.58µm
net465,595.88µm
net363,595.52µm
net524,594.005µm
net85,589.88µm
net37,580.5µm
_09580_,580.48µm
net120,580.24µm
net362,578.38µm
net523,576.19µm
net489,575.94µm
net315,574.855µm
net180,574.82µm
net38,574.68µm
net515,573.9µm
net327,573.66µm
net558,573.56µm
net63,571.655µm
net357,570.715µm
net200,569.04µm
net80,564.46µm
net535,562.67µm
_01146_,562.62µm
net332,560.88µm
_01274_,557.86µm
_03290_,546.12µm
net450,545.835µm
net287,545.68µm
_10782_,542.08µm
net137,541.84µm
_00745_,539.24µm
net333,537.32µm
net538,535.46µm
net207,530.16µm
net314,529.39µm
net447,527.34µm
net196,527.3µm
net86,527.28µm
net229,526.02µm
net241,525.7µm
_05033_,524.94µm
net277,524.1µm
net154,523.84µm
net240,521.42µm
_01143_,521.4µm
net313,521.02µm
net393,519.98µm
net198,519.58µm
net87,518.69µm
_04871_,517.68µm
_01077_,517.45µm
net336,512.63µm
_02984_,512.03µm
net158,510.32µm
net227,509.19µm
net274,508.22µm
_06951_,508.02µm
net334,506.66µm
net522,506µm
net245,499.22µm
_02931_,498.54µm
_05829_,498.02µm
net286,497.76µm
net197,496.44µm
net335,495.24µm
net226,494.77µm
_06415_,494.335µm
_02839_,493.42µm
_02993_,493.32µm
_02982_,490.82µm
_01204_,490.76µm
_02823_,490.745µm
_09957_,489.08µm
net153,488µm
net437,486.9µm
net157,485.38µm
net35,484.86µm
net567,483.165µm
net259,482.02µm
_04610_,480.82µm
net90,480.56µm
_03037_,480.38µm
net244,480.26µm
_05303_,478.14µm
net406,478.14µm
_00577_,477.28µm
_00815_,475.94µm
net243,475.275µm
net55,473.23µm
net242,472.9µm
_09000_,471.88µm
_09958_,471.78µm
net279,470.96µm
_04864_,463.065µm
_02716_,462.16µm
net97,460.32µm
net533,459.26µm
_04288_,459.19µm
_02994_,458.42µm
net353,457.98µm
net540,457.92µm
net351,455.23µm
net272,454.33µm
_02946_,452.16µm
net159,450.195µm
net337,449.92µm
net36,448.76µm
_02966_,448.56µm
net545,448.02µm
net147,447.12µm
net66,446.94µm
_08578_,446.28µm
_07653_,444.6µm
_02950_,443.04µm
_05578_,440.96µm
net142,438.74µm
net230,438.46µm
_06403_,437.41µm
net110,436.69µm
_10406_,433.7µm
net225,432.64µm
net443,432.62µm
_01333_,432.54µm
net402,432.15µm
net382,432.02µm
_08998_,430.94µm
_03334_,427.62µm
net34,427.1µm
_01020_,423.84µm
_03323_,423.06µm
net185,422.72µm
net84,422.15µm
net483,419.2µm
net419,417.64µm
_07283_,412.62µm
_01614_,411.44µm
_02939_,410.64µm
net49,410.42µm
_03029_,410.4µm
_01401_,408.14µm
net195,407.8µm
net514,407.48µm
_01495_,406.76µm
_01903_,405.78µm
_03098_,405.74µm
_03096_,404.57µm
_03030_,401.24µm
net573,400.145µm
_04203_,399.925µm
net50,397.64µm
net386,397.64µm
net164,396.3µm
net206,395.08µm
_01730_,394µm
_02635_,394µm
_06316_,392.78µm
_00825_,392.12µm
_00389_,390.44µm
net586,389.6µm
_06381_,389.56µm
net323,389.42µm
_04305_,389.32µm
_00743_,388.88µm
net539,387.255µm
net316,386.98µm
_03779_,385.54µm
net301,385.43µm
net231,382.7µm
_03191_,382.3µm
net534,382.24µm
net366,381.45µm
net175,381.28µm
net257,380.58µm
_07536_,379.84µm
net148,379.18µm
net51,378.62µm
net54,377.64µm
net57,376.665µm
_08230_,375.82µm
_04225_,374.9µm
net359,374.78µm
net392,374.78µm
net324,373.12µm
net527,372.64µm
_08844_,372.11µm
_04375_,371µm
_03266_,370.84µm
net1,370.7µm
net349,368.29µm
net52,367.64µm
net403,367.61µm
_03287_,367.44µm
_02610_,367.41µm
_00212_,365.04µm
_02554_,364.82µm
_01464_,362.36µm
net346,361.36µm
net404,359.14µm
net213,359.04µm
_03171_,358.94µm
_06317_,358.735µm
_11122_,356.18µm
net341,356.09µm
net53,356.08µm
net470,356.075µm
_00583_,356.07µm
_03301_,356.04µm
_03691_,354.92µm
net285,354.3µm
net478,354.075µm
net262,353.9µm
_01470_,353.48µm
_10234_,352.68µm
_09091_,351.6µm
_00826_,349.48µm
net448,347.28µm
_06230_,345.81µm
_02971_,345.61µm
_09062_,345.26µm
net250,344.675µm
net224,344.66µm
net345,344.56µm
net429,344.24µm
net590,343.8µm
net58,343.72µm
_09007_,343.52µm
_01094_,341.56µm
_03855_,341.4µm
_02949_,341.26µm
net32,340.98µm
_10992_,340.74µm
net290,338.78µm
_01550_,336.94µm
_06937_,335.58µm
net275,335.37µm
net521,334.44µm
_01794_,333.3µm
net541,333.09µm
_00647_,332.66µm
_05317_,331.8µm
net549,331.56µm
_00270_,331.4µm
_01860_,330.78µm
_10947_,330.26µm
_06201_,329.86µm
_01861_,329.66µm
net160,329.6µm
_04954_,327.76µm
net467,327.55µm
_01706_,327.28µm
_02894_,327.01µm
_03020_,326.89µm
_04396_,326.48µm
net2,325.76µm
_03236_,325.12µm
_09029_,324.12µm
_09604_,323.4µm
_00349_,323.28µm
net169,322.42µm
net557,321.56µm
net155,320.86µm
_01447_,320.54µm
net423,320.48µm
net416,319.15µm
net19,318.52µm
net578,318.32µm
net60,317.54µm
_10642_,317.52µm
net273,317.29µm
_06268_,317.28µm
net167,316.82µm
_04756_,316.78µm
_10898_,316.7µm
_03304_,315.76µm
net344,315.5µm
net56,314.38µm
_03237_,312.94µm
net145,312.94µm
net588,312.88µm
_01202_,312.74µm
_00354_,312.63µm
_02986_,312.56µm
net352,310.44µm
net263,310.26µm
_03358_,310.19µm
_01656_,309.7µm
_03890_,309.6µm
net348,308.735µm
_06010_,308.7µm
net421,308.12µm
net59,307.66µm
_09124_,307.3µm
net174,307.23µm
_06246_,307.2µm
net251,306.66µm
net170,306.54µm
net156,306.5µm
_06502_,305.485µm
clknet_1_0__leaf_clk,305.115µm
_01657_,304.44µm
net163,304.32µm
_06644_,303.88µm
net61,303.395µm
net172,303.38µm
_02905_,302.98µm
_09564_,302.68µm
net91,302.56µm
_03388_,302.2µm
_04006_,301.84µm
_08190_,301.68µm
net223,301.62µm
net74,301.06µm
_00644_,300.76µm
net571,300.53µm
net15,300µm
_04376_,299.28µm
net187,298.75µm
net232,297.82µm
net563,297.76µm
_06175_,297.5µm
_01704_,297.2µm
net497,296.32µm
net358,296.31µm
_01260_,296.18µm
_05277_,296.035µm
net410,295.32µm
_03355_,295.26µm
net319,293.34µm
net441,293.085µm
net162,291.56µm
net317,291.54µm
net536,291.355µm
_01263_,289.72µm
net589,289.22µm
_03286_,288.98µm
net165,288.98µm
_07022_,288.88µm
net463,288.42µm
net340,287.28µm
_04862_,286.93µm
net252,286.76µm
net322,286.68µm
net300,286.66µm
net543,286.4µm
_03326_,285.4µm
net338,285.15µm
_04953_,284.88µm
net343,284.74µm
net499,283.78µm
_07747_,283.64µm
net71,283.58µm
net168,281.66µm
_00955_,281.16µm
_03227_,280.09µm
net409,279.6µm
_00999_,279.58µm
_03175_,279.52µm
net288,279.1µm
_00584_,278.94µm
_04706_,278.34µm
net92,278.08µm
_06076_,277.58µm
net166,276.42µm
_01801_,276.3µm
net433,276.12µm
_03176_,275.78µm
net487,275.58µm
net577,275.39µm
net284,275.04µm
net95,274.795µm
_02927_,274.6µm
_02958_,274.46µm
_03320_,274.44µm
_01529_,274.29µm
net528,274.15µm
_10832_,274.02µm
net176,273.45µm
_06977_,273.28µm
_03373_,272.18µm
net283,272.135µm
_05654_,272.085µm
_07770_,271.77µm
net75,271.76µm
net449,271.6µm
net504,271.46µm
net430,270.92µm
_06011_,270.64µm
net500,270.48µm
net94,268.85µm
_07537_,268.22µm
_01589_,268.12µm
_03331_,268.06µm
_00251_,267.34µm
net149,267.3µm
net93,266.9µm
_00998_,266.56µm
_04650_,266.16µm
net440,265.98µm
net551,265.38µm
_08191_,264.88µm
net246,264.56µm
net466,263.93µm
net303,263.48µm
net583,262.3µm
net18,261.7µm
net397,261.53µm
_06019_,261.42µm
_03818_,261.04µm
_00582_,260.08µm
_00572_,259.96µm
_02715_,259.52µm
_01574_,259.04µm
_01454_,258.68µm
net391,258.16µm
net462,257.84µm
net26,257.65µm
net31,257.56µm
_08654_,257.45µm
net237,257.38µm
_02188_,256.84µm
_11181_,256.58µm
_10473_,256.24µm
_04487_,256.22µm
_11035_,256.1µm
net330,254.98µm
_03435_,253.9µm
net471,253.84µm
_06525_,253.81µm
_09086_,253.52µm
_05678_,253.43µm
net442,253.22µm
net446,253.1µm
net304,252.68µm
_03269_,252.44µm
net432,252.26µm
_05638_,252.2µm
_05611_,252.18µm
net122,252.02µm
net511,251.98µm
net399,251.4µm
net435,251.22µm
net72,250.3µm
_00820_,250.1µm
_04565_,249.89µm
_04653_,249.64µm
_02611_,249.3µm
net373,249.12µm
net370,248.62µm
net502,248.45µm
_05278_,248.18µm
net532,248.16µm
_01156_,248µm
net525,247.81µm
_04659_,247.76µm
_03204_,247.28µm
_03015_,247.18µm
_10311_,247.16µm
net572,247.04µm
_00472_,246.71µm
_04284_,246.68µm
_09207_,246.28µm
_06953_,246.08µm
net233,245.92µm
net177,245.91µm
net47,245.7µm
net569,245.36µm
_07602_,244.72µm
net25,244.72µm
_01613_,244.68µm
_01369_,244.38µm
_07850_,244.08µm
_03307_,243.96µm
_08918_,243.56µm
_03026_,243.52µm
_08513_,243.39µm
_07047_,243.24µm
net474,243.165µm
_03393_,242.52µm
_09293_,242.06µm
net48,241.4µm
_00919_,241.36µm
net376,240.97µm
_01522_,240.94µm
net444,240.52µm
_03966_,240.34µm
net519,240.255µm
_01068_,240.16µm
net436,239.46µm
_01265_,239.04µm
_06081_,238.39µm
_10215_,238.1µm
_06587_,236.54µm
_10639_,236.48µm
_02086_,236.42µm
_01728_,235.82µm
_10030_,235.62µm
net173,235.5µm
net121,235.05µm
_08192_,234.92µm
_01502_,234.9µm
net464,234.16µm
_01487_,234.06µm
_05702_,233.5µm
_06164_,233.46µm
_04821_,233.28µm
net258,233.15µm
net347,233.12µm
net457,232.27µm
_05346_,231.18µm
net434,231µm
net508,230.74µm
net581,230.44µm
_07471_,230.14µm
_05274_,230.1µm
_00884_,230µm
_03207_,229.48µm
_01076_,228.92µm
_03125_,228.7µm
_05318_,228.04µm
net498,227.8µm
_04445_,227.48µm
net531,227.32µm
_03252_,227.26µm
_08276_,226.7µm
_06208_,226.62µm
_03192_,226.525µm
_10157_,226.34µm
net236,226.22µm
_06180_,225.92µm
_08769_,225.42µm
net407,225.27µm
_09359_,225.08µm
net445,225.07µm
net178,224.98µm
_07945_,224.68µm
_09901_,223.88µm
_09684_,223.74µm
_09716_,223.68µm
net96,223.55µm
net546,223.29µm
_00397_,223.27µm
_03957_,222.9µm
net582,222.88µm
net513,222.4µm
_03144_,222µm
_08311_,221.84µm
_10645_,220.71µm
_04813_,220.44µm
net461,220.44µm
net400,220.4µm
_05826_,219.96µm
net425,219.9µm
_01813_,219.34µm
net73,219.24µm
_02568_,219.18µm
_10447_,218.14µm
_03244_,218.04µm
_02345_,217.64µm
_03225_,217.42µm
_02584_,217.32µm
net171,217.32µm
net16,217.16µm
_02599_,217.14µm
_02883_,216.89µm
_03410_,216.42µm
net27,216.28µm
_02861_,216.14µm
_04126_,215.9µm
_07067_,215.88µm
net150,215.78µm
net266,215.66µm
clknet_1_1__leaf_clk,215.18µm
net482,214.98µm
net235,214.96µm
_07731_,214.88µm
_08420_,214.64µm
_06058_,214.505µm
net342,214.3µm
_03576_,213.6µm
_02192_,213.3µm
_04278_,213µm
_10795_,212.86µm
net459,212.28µm
_09634_,212.08µm
net282,211.92µm
_08820_,211.89µm
_01366_,211.62µm
_04467_,211.3µm
net310,211.3µm
net17,210.7µm
_04543_,210.38µm
_09454_,210.38µm
_03182_,210.34µm
_06187_,209.965µm
net477,209.84µm
_03298_,209.78µm
_04425_,209.22µm
_01658_,208.94µm
net548,207.75µm
_11139_,207.68µm
_03105_,207.51µm
_01731_,207.24µm
net375,207.24µm
net438,207.16µm
net496,207.06µm
_04014_,206.95µm
_02566_,206.68µm
_04880_,206.66µm
_08480_,206.56µm
_08348_,206.37µm
_05061_,206.3µm
net555,206.255µm
_00938_,206.18µm
_09311_,205.98µm
net387,205.79µm
net388,205.76µm
net490,205.28µm
_01108_,204.66µm
_01814_,204.56µm
_01172_,204.32µm
_03851_,204.23µm
_03064_,203.835µm
net306,203.66µm
net544,203.435µm
_04472_,203.37µm
_01554_,203.3µm
_04882_,203.18µm
net339,202.98µm
_10445_,202.96µm
_06128_,202.92µm
_01488_,202.26µm
_06276_,202.2µm
_07216_,201.9µm
_06213_,201.78µm
_06491_,201.74µm
_02231_,201.58µm
_00844_,201.41µm
_01079_,201.4µm
_07144_,201.1µm
_05344_,200.96µm
net21,200.9µm
net412,200.86µm
net384,200.54µm
_06856_,200.46µm
_04427_,200.22µm
_01539_,199.96µm
_00715_,199.94µm
_03106_,199.54µm
net426,199.24µm
_09051_,199.18µm
_04941_,198.92µm
net565,198.77µm
net151,198.54µm
net431,198.4µm
net234,198.34µm
net28,197.995µm
_05171_,197.64µm
_07516_,197.3µm
_06239_,196.75µm
_08521_,196.72µm
_08684_,196.36µm
_09108_,196.32µm
_01577_,196.28µm
_11069_,195.44µm
net20,194.72µm
net472,193.82µm
_01573_,193.72µm
_10070_,193.7µm
_01555_,193.635µm
_08089_,193.54µm
_07104_,193.52µm
_02630_,193.36µm
_00932_,192.94µm
_04621_,192.86µm
_04788_,192.84µm
net512,192.74µm
_04787_,192.69µm
net255,192.54µm
net378,192.47µm
_04434_,192.4µm
_03433_,192.34µm
_01540_,192.04µm
_03039_,191.56µm
net395,191.29µm
_03922_,190.73µm
net468,189.84µm
_04229_,189.35µm
net510,189.12µm
_00586_,188.94µm
_05286_,188.88µm
net269,188.72µm
_04549_,188.46µm
net547,188.26µm
_09964_,188.2µm
_04054_,188.105µm
_05787_,187.98µm
_04942_,187.735µm
_01199_,187.36µm
net295,187.06µm
_00036_,186.47µm
_04673_,186.24µm
_03285_,186.09µm
_00539_,186.01µm
_03395_,185.76µm
_01455_,185.62µm
_03983_,185.56µm
_01067_,185.44µm
_05309_,185.02µm
_03342_,184.58µm
_07170_,184.58µm
net485,184.58µm
_08090_,184.28µm
_00637_,184.2µm
net302,184.18µm
_02315_,183.9µm
_04607_,183.8µm
net454,183.675µm
_07562_,183.24µm
_04228_,182.5µm
_03094_,182.495µm
_00683_,182.4µm
net123,182.355µm
_04515_,182µm
net76,181.935µm
_06673_,181.8µm
_02615_,181.7µm
_10071_,181.66µm
_07696_,181.235µm
_05360_,181.09µm
_09975_,181.06µm
_04061_,181.02µm
net552,180.53µm
_06256_,180.33µm
_06373_,180.22µm
_10063_,180.2µm
_01901_,180µm
_03961_,179.88µm
_06325_,179.83µm
_02595_,179.48µm
_02609_,179.42µm
net495,178.98µm
_05921_,178.68µm
_09487_,178.66µm
net311,178.12µm
_01503_,178.1µm
_00691_,177.96µm
_05307_,177.78µm
net507,177.78µm
_04902_,177.74µm
_04518_,177.715µm
_06805_,177.6µm
_05137_,177.33µm
_07360_,177.31µm
_02516_,177.28µm
_01707_,177.16µm
_07195_,177.06µm
net585,176.84µm
net509,176.72µm
_00817_,176.66µm
_00909_,176.66µm
_04299_,176.64µm
_00363_,176.52µm
_02923_,176.18µm
_03881_,176.16µm
_03053_,175.74µm
net473,175.64µm
_07933_,175.36µm
_03391_,174.72µm
_00895_,174.68µm
_06836_,174.36µm
_03960_,174.28µm
_01028_,174.02µm
_08875_,174µm
_03091_,173.98µm
_03422_,173.94µm
_04478_,173.79µm
_03383_,173.78µm
_04985_,173.42µm
_08239_,173.4µm
_03111_,173.3µm
_03164_,173.18µm
_00641_,172.98µm
_05111_,172.6µm
_00008_,172.52µm
_05296_,172.46µm
net553,172.38µm
_04309_,172.19µm
_03170_,171.8µm
_00654_,171.76µm
_01559_,171.74µm
net479,171.515µm
_02594_,171.36µm
_07388_,171.34µm
net405,171.32µm
_02612_,171.3µm
_03289_,171.28µm
net517,171.08µm
_03843_,171.06µm
_03389_,170.76µm
net152,170.68µm
_03707_,170.54µm
_03721_,170.54µm
_08357_,170.3µm
_07357_,170.26µm
net480,170.115µm
net325,170.075µm
_03386_,169.98µm
_10835_,169.94µm
_04010_,169.68µm
_04632_,169.54µm
_08124_,169.46µm
_02928_,169.02µm
_03129_,168.82µm
net78,168.63µm
